Folder,File,Mutants total,Mutants dead total,Mutants alive,Mutantion score
10-4-4,1,154208.0,6413.0,147795.0,0.0415866881095663
10-4-4,10,154208.0,3294.0,150914.0,0.021360759493670885
10-4-4,100,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,11,154208.0,5589.0,148619.0,0.036243255862212075
10-4-4,12,154208.0,5743.0,148465.0,0.03724190703465449
10-4-4,14,154208.0,3294.0,150914.0,0.021360759493670885
10-4-4,15,154208.0,8778.0,145430.0,0.05692311682921768
10-4-4,16,154208.0,5595.0,148613.0,0.03628216434945009
10-4-4,17,154208.0,3294.0,150914.0,0.021360759493670885
10-4-4,18,154208.0,6589.0,147619.0,0.04272800373521477
10-4-4,19,154208.0,5002.0,149206.0,0.03243670886075949
10-4-4,2,154208.0,5105.0,149103.0,0.03310463789167877
10-4-4,20,154208.0,6742.0,147466.0,0.04372017015978419
10-4-4,21,154208.0,5273.0,148935.0,0.03419407553434323
10-4-4,22,154208.0,9282.0,144926.0,0.06019142975721104
10-4-4,23,154208.0,5668.0,148540.0,0.03675555094417929
10-4-4,24,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,25,154208.0,3370.0,150838.0,0.02185360033201909
10-4-4,26,154208.0,6916.0,147292.0,0.044848516289686655
10-4-4,27,154208.0,5273.0,148935.0,0.03419407553434323
10-4-4,28,154208.0,3294.0,150914.0,0.021360759493670885
10-4-4,29,154208.0,7396.0,146812.0,0.047961195268727955
10-4-4,3,154208.0,3294.0,150914.0,0.021360759493670885
10-4-4,30,154208.0,3778.0,150430.0,0.02449937746420419
10-4-4,31,154208.0,3863.0,150345.0,0.02505058103340942
10-4-4,32,154208.0,4772.0,149436.0,0.030945216849968874
10-4-4,33,154208.0,5427.0,148781.0,0.03519272670678564
10-4-4,34,154208.0,3370.0,150838.0,0.02185360033201909
10-4-4,35,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,36,154208.0,7554.0,146654.0,0.048985785432662375
10-4-4,37,154208.0,4852.0,149356.0,0.03146399667980909
10-4-4,38,154208.0,5350.0,148858.0,0.03469340112056443
10-4-4,39,154208.0,4765.0,149443.0,0.030899823614857855
10-4-4,4,154208.0,5426.0,148782.0,0.03518624195891264
10-4-4,40,154208.0,5663.0,148545.0,0.03672312720481428
10-4-4,41,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,42,154208.0,6738.0,147470.0,0.04369423116829218
10-4-4,43,154208.0,3294.0,150914.0,0.021360759493670885
10-4-4,44,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,45,154208.0,7321.0,146887.0,0.04747483917825275
10-4-4,46,154208.0,8713.0,145495.0,0.05650160821747251
10-4-4,47,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,48,154208.0,3542.0,150666.0,0.022968976966175555
10-4-4,49,154208.0,3863.0,150345.0,0.02505058103340942
10-4-4,5,154208.0,5418.0,148790.0,0.03513436397592862
10-4-4,50,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,51,154208.0,5020.0,149188.0,0.03255343432247354
10-4-4,52,154208.0,5358.0,148850.0,0.03474527910354845
10-4-4,53,154208.0,5342.0,148866.0,0.03464152313758041
10-4-4,54,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,55,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,56,154208.0,4772.0,149436.0,0.030945216849968874
10-4-4,57,154208.0,8532.0,145676.0,0.055327868852459015
10-4-4,58,154208.0,8111.0,146097.0,0.05259778999792488
10-4-4,59,154208.0,9197.0,145011.0,0.05964022618800581
10-4-4,6,154208.0,7312.0,146896.0,0.047416476447395724
10-4-4,60,154208.0,5340.0,148868.0,0.034628553641834404
10-4-4,61,154208.0,5106.0,149102.0,0.03311112263955177
