Folder	File	Mutants total	Mutants dead total	Mutants alive	Mutantion score
10-4-4	1	154208	127079	27129	82%
10-4-4	10	154208	120137	34071	78%
10-4-4	100	154208	117178	37030	76%
10-4-4	11	154208	136151	18057	88%
10-4-4	12	154208	116299	37909	75%
10-4-4	14	154208	130013	24195	84%
10-4-4	15	154208	130206	24002	84%
10-4-4	16	154208	122721	31487	80%
10-4-4	17	154208	128109	26099	83%
10-4-4	18	154208	129608	24600	84%
10-4-4	19	154208	134452	19756	87%
10-4-4	2	154208	134903	19305	87%
10-4-4	20	154208	126111	28097	82%
10-4-4	21	154208	110717	43491	72%
10-4-4	22	154208	128200	26008	83%
10-4-4	23	154208	128431	25777	83%
10-4-4	24	154208	130339	23869	85%
10-4-4	25	154208	110572	43636	72%
10-4-4	26	154208	125210	28998	81%
10-4-4	27	154208	129667	24541	84%
10-4-4	28	154208	123343	30865	80%
10-4-4	29	154208	121676	32532	79%
10-4-4	3	154208	126632	27576	82%
10-4-4	30	154208	123712	30496	80%
10-4-4	31	154208	122014	32194	79%
10-4-4	32	154208	130276	23932	84%
10-4-4	33	154208	123178	31030	80%
10-4-4	34	154208	109987	44221	71%
10-4-4	35	154208	123885	30323	80%
10-4-4	36	154208	139610	14598	91%
10-4-4	37	154208	124140	30068	81%
10-4-4	38	154208	104406	49802	68%
10-4-4	39	154208	129897	24311	84%
10-4-4	4	154208	116834	37374	76%
10-4-4	40	154208	121915	32293	79%
10-4-4	41	154208	121509	32699	79%
10-4-4	42	154208	115416	38792	75%
10-4-4	43	154208	140618	13590	91%
10-4-4	44	154208	127413	26795	83%
10-4-4	45	154208	123663	30545	80%
10-4-4	46	154208	123654	30554	80%
10-4-4	47	154208	117298	36910	76%
10-4-4	48	154208	136525	17683	89%
10-4-4	49	154208	130108	24100	84%
10-4-4	5	154208	117395	36813	76%
10-4-4	50	154208	128357	25851	83%
10-4-4	51	154208	116078	38130	75%
10-4-4	52	154208	121781	32427	79%
10-4-4	53	154208	130411	23797	85%
10-4-4	54	154208	123246	30962	80%
10-4-4	55	154208	120720	33488	78%
10-4-4	56	154208	121831	32377	79%
10-4-4	57	154208	128689	25519	83%
10-4-4	58	154208	123334	30874	80%
10-4-4	59	154208	130240	23968	84%
10-4-4	6	154208	128482	25726	83%
10-4-4	60	154208	135961	18247	88%
10-4-4	61	154208	129846	24362	84%
10-4-4	62	154208	115422	38786	75%
10-4-4	63	154208	116748	37460	76%
10-4-4	64	154208	128521	25687	83%
10-4-4	65	154208	136240	17968	88%
10-4-4	66	154208	129647	24561	84%
10-4-4	67	154208	135596	18612	88%
10-4-4	68	154208	136294	17914	88%
10-4-4	69	154208	136505	17703	89%
10-4-4	7	154208	136651	17557	89%
10-4-4	70	154208	126381	27827	82%
10-4-4	71	154208	128013	26195	83%
10-4-4	72	154208	117555	36653	76%
10-4-4	73	154208	127489	26719	83%
10-4-4	75	154208	115710	38498	75%
10-4-4	76	154208	115991	38217	75%
10-4-4	77	154208	122142	32066	79%
10-4-4	78	154208	128574	25634	83%
10-4-4	79	154208	121631	32577	79%
10-4-4	8	154208	117086	37122	76%
10-4-4	80	154208	121701	32507	79%
10-4-4	81	154208	130601	23607	85%
10-4-4	82	154208	123480	30728	80%
10-4-4	83	154208	107035	47173	69%
10-4-4	84	154208	122057	32151	79%
10-4-4	85	154208	128010	26198	83%
10-4-4	86	154208	142429	11779	92%
10-4-4	87	154208	135253	18955	88%
10-4-4	88	154208	120558	33650	78%
10-4-4	89	154208	128683	25525	83%
10-4-4	9	154208	110619	43589	72%
10-4-4	90	154208	136143	18065	88%
10-4-4	91	154208	140962	13246	91%
10-4-4	93	154208	116812	37396	76%
10-4-4	94	154208	128896	25312	84%
10-4-4	95	154208	129842	24366	84%
10-4-4	96	154208	136736	17472	89%
10-4-4	97	154208	128300	25908	83%
10-4-4	98	154208	117367	36841	76%
10-4-4	99	154208	142725	11483	93%
