Folder	File	Mutants total	Mutants dead total	Mutants alive	Mutantion score
10-4-4	1	154208	148010	6198	96%
10-4-4	10	154208	150286	3922	97%
10-4-4	100	154208	144304	9904	94%
10-4-4	11	154208	146255	7953	95%
10-4-4	12	154208	146404	7804	95%
10-4-4	14	154208	151731	2477	98%
10-4-4	15	154208	150046	4162	97%
10-4-4	16	154208	148329	5879	96%
10-4-4	17	154208	147774	6434	96%
10-4-4	18	154208	147919	6289	96%
10-4-4	19	154208	149709	4499	97%
10-4-4	2	154208	145461	8747	94%
10-4-4	20	154208	146402	7806	95%
10-4-4	21	154208	150388	3820	98%
10-4-4	22	154208	150227	3981	97%
10-4-4	23	154208	144738	9470	94%
10-4-4	24	154208	150343	3865	97%
10-4-4	25	154208	149717	4491	97%
10-4-4	26	154208	148148	6060	96%
10-4-4	27	154208	148414	5794	96%
10-4-4	28	154208	145845	8363	95%
10-4-4	29	154208	150002	4206	97%
10-4-4	3	154208	142458	11750	92%
10-4-4	30	154208	146023	8185	95%
10-4-4	31	154208	150564	3644	98%
10-4-4	32	154208	151988	2220	99%
10-4-4	33	154208	150416	3792	98%
10-4-4	34	154208	141916	12292	92%
10-4-4	35	154208	150163	4045	97%
10-4-4	36	154208	147932	6276	96%
10-4-4	37	154208	147971	6237	96%
10-4-4	38	154208	148098	6110	96%
10-4-4	39	154208	151536	2672	98%
10-4-4	4	154208	150690	3518	98%
10-4-4	40	154208	149991	4217	97%
10-4-4	41	154208	152136	2072	99%
10-4-4	42	154208	148088	6120	96%
10-4-4	43	154208	143966	10242	93%
10-4-4	44	154208	150007	4201	97%
10-4-4	45	154208	149140	5068	97%
10-4-4	46	154208	152277	1931	99%
10-4-4	47	154208	147106	7102	95%
10-4-4	48	154208	146550	7658	95%
10-4-4	49	154208	145977	8231	95%
10-4-4	5	154208	147947	6261	96%
10-4-4	50	154208	146705	7503	95%
10-4-4	51	154208	143808	10400	93%
10-4-4	52	154208	147697	6511	96%
10-4-4	53	154208	144143	10065	93%
10-4-4	54	154208	150146	4062	97%
10-4-4	55	154208	151758	2450	98%
10-4-4	56	154208	151886	2322	98%
10-4-4	57	154208	148065	6143	96%
10-4-4	58	154208	151784	2424	98%
10-4-4	59	154208	150423	3785	98%
10-4-4	6	154208	151514	2694	98%
10-4-4	60	154208	146159	8049	95%
10-4-4	61	154208	149539	4669	97%
10-4-4	62	154208	145940	8268	95%
10-4-4	63	154208	142293	11915	92%
10-4-4	64	154208	151980	2228	99%
10-4-4	65	154208	151156	3052	98%
10-4-4	66	154208	150072	4136	97%
10-4-4	67	154208	149840	4368	97%
10-4-4	68	154208	149803	4405	97%
10-4-4	69	154208	149921	4287	97%
10-4-4	7	154208	147225	6983	95%
10-4-4	70	154208	149926	4282	97%
10-4-4	71	154208	151109	3099	98%
10-4-4	72	154208	150548	3660	98%
10-4-4	73	154208	148390	5818	96%
10-4-4	75	154208	146620	7588	95%
10-4-4	76	154208	146645	7563	95%
10-4-4	77	154208	150229	3979	97%
10-4-4	78	154208	151533	2675	98%
10-4-4	79	154208	151767	2441	98%
10-4-4	8	154208	144171	10037	93%
10-4-4	80	154208	145845	8363	95%
10-4-4	81	154208	146563	7645	95%
10-4-4	82	154208	145672	8536	94%
10-4-4	83	154208	150254	3954	97%
10-4-4	84	154208	149640	4568	97%
10-4-4	85	154208	147722	6486	96%
10-4-4	86	154208	147818	6390	96%
10-4-4	87	154208	152044	2164	99%
10-4-4	88	154208	148200	6008	96%
10-4-4	89	154208	151904	2304	99%
10-4-4	9	154208	146230	7978	95%
10-4-4	90	154208	150358	3850	98%
10-4-4	91	154208	151473	2735	98%
10-4-4	93	154208	148591	5617	96%
10-4-4	94	154208	150335	3873	97%
10-4-4	95	154208	140742	13466	91%
10-4-4	96	154208	147796	6412	96%
10-4-4	97	154208	150439	3769	98%
10-4-4	98	154208	148291	5917	96%
10-4-4	99	154208	149956	4252	97%
