Folder	File	Mutants total	Mutants dead total	Mutants alive	Mutantion score			
10-4-4	1	154208	3370	150838	2%		10-4-4	2%
10-4-4	10	154208	1568	152640	1%		12-4-4	2%
10-4-4	100	154208	1568	152640	1%		14-4-4	2%
10-4-4	11	154208	1568	152640	1%		16-4-4	3%
10-4-4	12	154208	1568	152640	1%		18-4-4	3%
10-4-4	14	154208	1568	152640	1%		20-4-4	4%
10-4-4	15	154208	3294	150914	2%			
10-4-4	16	154208	1568	152640	1%			
10-4-4	17	154208	1568	152640	1%			
10-4-4	18	154208	4531	149677	3%			
10-4-4	19	154208	1568	152640	1%			
10-4-4	2	154208	1568	152640	1%			
10-4-4	20	154208	1568	152640	1%			
10-4-4	21	154208	5020	149188	3%			
10-4-4	22	154208	3542	150666	2%			
10-4-4	23	154208	1568	152640	1%			
10-4-4	24	154208	1568	152640	1%			
10-4-4	25	154208	1568	152640	1%			
10-4-4	26	154208	1568	152640	1%			
10-4-4	27	154208	1568	152640	1%			
10-4-4	28	154208	1568	152640	1%			
10-4-4	29	154208	1568	152640	1%			
10-4-4	3	154208	1568	152640	1%			
10-4-4	30	154208	1568	152640	1%			
10-4-4	31	154208	1568	152640	1%			
10-4-4	32	154208	3542	150666	2%			
10-4-4	33	154208	4362	149846	3%			
10-4-4	34	154208	1568	152640	1%			
10-4-4	35	154208	1568	152640	1%			
10-4-4	36	154208	1568	152640	1%			
10-4-4	37	154208	3294	150914	2%			
10-4-4	38	154208	1568	152640	1%			
10-4-4	39	154208	1568	152640	1%			
10-4-4	4	154208	1568	152640	1%			
10-4-4	40	154208	1568	152640	1%			
10-4-4	41	154208	1568	152640	1%			
10-4-4	42	154208	1568	152640	1%			
10-4-4	43	154208	1568	152640	1%			
10-4-4	44	154208	1568	152640	1%			
10-4-4	45	154208	1568	152640	1%			
10-4-4	46	154208	4865	149343	3%			
10-4-4	47	154208	1568	152640	1%			
10-4-4	48	154208	1568	152640	1%			
10-4-4	49	154208	5028	149180	3%			
10-4-4	5	154208	3294	150914	2%			
10-4-4	50	154208	1568	152640	1%			
10-4-4	51	154208	3370	150838	2%			
10-4-4	52	154208	1568	152640	1%			
10-4-4	53	154208	1568	152640	1%			
10-4-4	54	154208	1568	152640	1%			
10-4-4	55	154208	1568	152640	1%			
10-4-4	56	154208	1568	152640	1%			
10-4-4	57	154208	1568	152640	1%			
10-4-4	58	154208	8393	145815	5%			
10-4-4	59	154208	3370	150838	2%			
10-4-4	6	154208	1568	152640	1%			
10-4-4	60	154208	1568	152640	1%			
10-4-4	61	154208	1568	152640	1%			
10-4-4	62	154208	1568	152640	1%			
10-4-4	63	154208	3294	150914	2%			
10-4-4	64	154208	1568	152640	1%			
10-4-4	65	154208	1568	152640	1%			
10-4-4	66	154208	1568	152640	1%			
10-4-4	67	154208	4765	149443	3%			
10-4-4	68	154208	1568	152640	1%			
10-4-4	69	154208	1568	152640	1%			
10-4-4	7	154208	6841	147367	4%			
10-4-4	70	154208	1568	152640	1%			
10-4-4	71	154208	1568	152640	1%			
10-4-4	72	154208	5106	149102	3%			
10-4-4	73	154208	5268	148940	3%			
10-4-4	75	154208	1568	152640	1%			
10-4-4	76	154208	1568	152640	1%			
10-4-4	77	154208	1568	152640	1%			
10-4-4	78	154208	7895	146313	5%			
10-4-4	79	154208	4765	149443	3%			
10-4-4	8	154208	5028	149180	3%			
10-4-4	80	154208	4944	149264	3%			
10-4-4	81	154208	1568	152640	1%			
10-4-4	82	154208	1568	152640	1%			
10-4-4	83	154208	3370	150838	2%			
10-4-4	84	154208	6798	147410	4%			
10-4-4	85	154208	1568	152640	1%			
10-4-4	86	154208	3294	150914	2%			
10-4-4	87	154208	3294	150914	2%			
10-4-4	88	154208	1568	152640	1%			
10-4-4	89	154208	1568	152640	1%			
10-4-4	9	154208	5020	149188	3%			
10-4-4	90	154208	1568	152640	1%			
10-4-4	91	154208	3542	150666	2%			
10-4-4	93	154208	3542	150666	2%			
10-4-4	94	154208	3542	150666	2%			
10-4-4	95	154208	3294	150914	2%			
10-4-4	96	154208	3294	150914	2%			
10-4-4	97	154208	3294	150914	2%			
10-4-4	98	154208	1568	152640	1%			
10-4-4	99	154208	1568	152640	1%			
12-4-4	1	154208	5106	149102	3%			
12-4-4	10	154208	3370	150838	2%			
12-4-4	100	154208	4772	149436	3%			
12-4-4	11	154208	1568	152640	1%			
12-4-4	12	154208	1568	152640	1%			
12-4-4	13	154208	3294	150914	2%			
12-4-4	14	154208	1568	152640	1%			
12-4-4	15	154208	6081	148127	4%			
12-4-4	16	154208	1568	152640	1%			
12-4-4	17	154208	1568	152640	1%			
12-4-4	18	154208	3294	150914	2%			
12-4-4	19	154208	5024	149184	3%			
12-4-4	2	154208	1568	152640	1%			
12-4-4	20	154208	6589	147619	4%			
12-4-4	21	154208	1568	152640	1%			
12-4-4	22	154208	1568	152640	1%			
12-4-4	23	154208	1568	152640	1%			
12-4-4	24	154208	3294	150914	2%			
12-4-4	25	154208	1568	152640	1%			
12-4-4	26	154208	6081	148127	4%			
12-4-4	27	154208	6081	148127	4%			
12-4-4	28	154208	1568	152640	1%			
12-4-4	29	154208	5105	149103	3%			
12-4-4	3	154208	6839	147369	4%			
12-4-4	30	154208	4608	149600	3%			
12-4-4	31	154208	1568	152640	1%			
12-4-4	32	154208	1568	152640	1%			
12-4-4	33	154208	6922	147286	4%			
12-4-4	34	154208	3294	150914	2%			
12-4-4	35	154208	1568	152640	1%			
12-4-4	36	154208	1568	152640	1%			
12-4-4	37	154208	4772	149436	3%			
12-4-4	38	154208	3370	150838	2%			
12-4-4	39	154208	3294	150914	2%			
12-4-4	4	154208	3294	150914	2%			
12-4-4	40	154208	5020	149188	3%			
12-4-4	41	154208	1568	152640	1%			
12-4-4	42	154208	3294	150914	2%			
12-4-4	43	154208	3542	150666	2%			
12-4-4	44	154208	3294	150914	2%			
12-4-4	45	154208	5113	149095	3%			
12-4-4	46	154208	1568	152640	1%			
12-4-4	47	154208	5020	149188	3%			
12-4-4	48	154208	3294	150914	2%			
12-4-4	49	154208	1568	152640	1%			
12-4-4	5	154208	3294	150914	2%			
12-4-4	50	154208	5024	149184	3%			
12-4-4	51	154208	8817	145391	6%			
12-4-4	52	154208	1568	152640	1%			
12-4-4	53	154208	3370	150838	2%			
12-4-4	54	154208	1568	152640	1%			
12-4-4	55	154208	1568	152640	1%			
12-4-4	56	154208	1568	152640	1%			
12-4-4	57	154208	3542	150666	2%			
12-4-4	58	154208	3294	150914	2%			
12-4-4	59	154208	3294	150914	2%			
12-4-4	6	154208	3542	150666	2%			
12-4-4	60	154208	4765	149443	3%			
