Folder	File	Mutants total	Mutants dead total	Mutants alive	Mutantion score
10-4-4	1	154208	135069	19139	88%
10-4-4	10	154208	141955	12253	92%
10-4-4	100	154208	134425	19783	87%
10-4-4	11	154208	137028	17180	89%
10-4-4	12	154208	142923	11285	93%
10-4-4	14	154208	147482	6726	96%
10-4-4	15	154208	133424	20784	87%
10-4-4	16	154208	132643	21565	86%
10-4-4	17	154208	130190	24018	84%
10-4-4	18	154208	136267	17941	88%
10-4-4	19	154208	129925	24283	84%
10-4-4	2	154208	139512	14696	90%
10-4-4	20	154208	121361	32847	79%
10-4-4	21	154208	127318	26890	83%
10-4-4	22	154208	143882	10326	93%
10-4-4	23	154208	136235	17973	88%
10-4-4	24	154208	124351	29857	81%
10-4-4	25	154208	136823	17385	89%
10-4-4	26	154208	135861	18347	88%
10-4-4	27	154208	138519	15689	90%
10-4-4	28	154208	129259	24949	84%
10-4-4	29	154208	138271	15937	90%
10-4-4	3	154208	139615	14593	91%
10-4-4	30	154208	132015	22193	86%
10-4-4	31	154208	133647	20561	87%
10-4-4	32	154208	135395	18813	88%
10-4-4	33	154208	142656	11552	93%
10-4-4	34	154208	137070	17138	89%
10-4-4	35	154208	133405	20803	87%
10-4-4	36	154208	135498	18710	88%
10-4-4	37	154208	135918	18290	88%
10-4-4	38	154208	130342	23866	85%
10-4-4	39	154208	139951	14257	91%
10-4-4	4	154208	134140	20068	87%
10-4-4	40	154208	138562	15646	90%
10-4-4	41	154208	137884	16324	89%
10-4-4	42	154208	138545	15663	90%
10-4-4	43	154208	147456	6752	96%
10-4-4	44	154208	131282	22926	85%
10-4-4	45	154208	134140	20068	87%
10-4-4	46	154208	142777	11431	93%
10-4-4	47	154208	130803	23405	85%
10-4-4	48	154208	141668	12540	92%
10-4-4	49	154208	137404	16804	89%
10-4-4	5	154208	138182	16026	90%
10-4-4	50	154208	136902	17306	89%
10-4-4	51	154208	137358	16850	89%
10-4-4	52	154208	135019	19189	88%
10-4-4	53	154208	145538	8670	94%
10-4-4	54	154208	142805	11403	93%
10-4-4	55	154208	140986	13222	91%
10-4-4	56	154208	141916	12292	92%
10-4-4	57	154208	134326	19882	87%
10-4-4	58	154208	140167	14041	91%
10-4-4	59	154208	138767	15441	90%
10-4-4	6	154208	124118	30090	80%
10-4-4	60	154208	139154	15054	90%
10-4-4	61	154208	137835	16373	89%
10-4-4	62	154208	117566	36642	76%
10-4-4	63	154208	135835	18373	88%
10-4-4	64	154208	134712	19496	87%
10-4-4	65	154208	133020	21188	86%
10-4-4	66	154208	146763	7445	95%
10-4-4	67	154208	134148	20060	87%
10-4-4	68	154208	132776	21432	86%
10-4-4	69	154208	137098	17110	89%
10-4-4	7	154208	128760	25448	83%
10-4-4	70	154208	129289	24919	84%
10-4-4	71	154208	131729	22479	85%
10-4-4	72	154208	149390	4818	97%
10-4-4	73	154208	132311	21897	86%
10-4-4	75	154208	131503	22705	85%
10-4-4	76	154208	142073	12135	92%
10-4-4	77	154208	133844	20364	87%
10-4-4	78	154208	136917	17291	89%
10-4-4	79	154208	137214	16994	89%
10-4-4	8	154208	132413	21795	86%
10-4-4	80	154208	127280	26928	83%
10-4-4	81	154208	135945	18263	88%
10-4-4	82	154208	129837	24371	84%
10-4-4	83	154208	137469	16739	89%
10-4-4	84	154208	135589	18619	88%
10-4-4	85	154208	141012	13196	91%
10-4-4	86	154208	139629	14579	91%
10-4-4	87	154208	137004	17204	89%
10-4-4	88	154208	142125	12083	92%
10-4-4	89	154208	138413	15795	90%
10-4-4	9	154208	135780	18428	88%
10-4-4	90	154208	141781	12427	92%
10-4-4	91	154208	144729	9479	94%
10-4-4	93	154208	126578	27630	82%
10-4-4	94	154208	143216	10992	93%
10-4-4	95	154208	137002	17206	89%
10-4-4	96	154208	117540	36668	76%
10-4-4	97	154208	130945	23263	85%
10-4-4	98	154208	138191	16017	90%
10-4-4	99	154208	138679	15529	90%
