Folder	File	Mutants total	Mutants dead total	Mutants alive	Mutantion score
10/04/04	1	154208	150485	3723	98%
10/04/04	10	154208	150638	3570	98%
10/04/04	100	154208	146764	7444	95%
10/04/04	11	154208	144495	9713	94%
10/04/04	12	154208	151574	2634	98%
10/04/04	14	154208	148401	5807	96%
10/04/04	15	154208	150678	3530	98%
10/04/04	16	154208	150269	3939	97%
10/04/04	17	154208	146278	7930	95%
10/04/04	18	154208	150190	4018	97%
10/04/04	19	154208	149766	4442	97%
10/04/04	2	154208	152234	1974	99%
10/04/04	20	154208	152199	2009	99%
10/04/04	21	154208	151682	2526	98%
10/04/04	22	154208	146402	7806	95%
10/04/04	23	154208	150828	3380	98%
10/04/04	24	154208	149912	4296	97%
10/04/04	25	154208	150092	4116	97%
10/04/04	26	154208	148360	5848	96%
10/04/04	27	154208	146048	8160	95%
10/04/04	28	154208	150093	4115	97%
10/04/04	29	154208	151567	2641	98%
10/04/04	3	154208	149667	4541	97%
10/04/04	30	154208	146222	7986	95%
10/04/04	31	154208	151600	2608	98%
10/04/04	32	154208	152056	2152	99%
10/04/04	33	154208	147724	6484	96%
10/04/04	34	154208	148531	5677	96%
10/04/04	35	154208	152226	1982	99%
10/04/04	36	154208	150471	3737	98%
10/04/04	37	154208	146174	8034	95%
10/04/04	38	154208	150558	3650	98%
10/04/04	39	154208	150519	3689	98%
10/04/04	4	154208	152625	1583	99%
10/04/04	40	154208	152517	1691	99%
10/04/04	41	154208	149950	4258	97%
10/04/04	42	154208	149906	4302	97%
10/04/04	43	154208	152065	2143	99%
10/04/04	44	154208	146170	8038	95%
10/04/04	45	154208	150333	3875	97%
10/04/04	46	154208	148067	6141	96%
10/04/04	47	154208	150237	3971	97%
10/04/04	48	154208	150456	3752	98%
10/04/04	49	154208	144140	10068	93%
10/04/04	5	154208	151943	2265	99%
10/04/04	50	154208	150691	3517	98%
10/04/04	51	154208	146622	7586	95%
10/04/04	52	154208	146456	7752	95%
10/04/04	53	154208	152351	1857	99%
10/04/04	54	154208	150343	3865	97%
10/04/04	55	154208	151949	2259	99%
10/04/04	56	154208	150657	3551	98%
10/04/04	57	154208	150601	3607	98%
10/04/04	58	154208	148242	5966	96%
10/04/04	59	154208	144457	9751	94%
10/04/04	6	154208	146164	8044	95%
10/04/04	60	154208	150356	3852	98%
10/04/04	61	154208	148730	5478	96%
10/04/04	62	154208	144039	10169	93%
10/04/04	63	154208	152574	1634	99%
10/04/04	64	154208	152453	1755	99%
10/04/04	65	154208	149902	4306	97%
10/04/04	66	154208	148384	5824	96%
10/04/04	67	154208	150420	3788	98%
10/04/04	68	154208	144613	9595	94%
10/04/04	69	154208	150439	3769	98%
10/04/04	7	154208	152265	1943	99%
10/04/04	70	154208	150369	3839	98%
10/04/04	71	154208	148302	5906	96%
10/04/04	72	154208	150662	3546	98%
10/04/04	73	154208	149977	4231	97%
10/04/04	75	154208	150315	3893	97%
10/04/04	76	154208	150487	3721	98%
10/04/04	77	154208	150375	3833	98%
10/04/04	78	154208	148261	5947	96%
10/04/04	79	154208	152077	2131	99%
10/04/04	8	154208	144414	9794	94%
10/04/04	80	154208	149794	4414	97%
10/04/04	81	154208	152035	2173	99%
10/04/04	82	154208	146234	7974	95%
10/04/04	83	154208	150096	4112	97%
10/04/04	84	154208	149937	4271	97%
10/04/04	85	154208	148372	5836	96%
10/04/04	86	154208	148315	5893	96%
10/04/04	87	154208	148415	5793	96%
10/04/04	88	154208	142292	11916	92%
10/04/04	89	154208	152301	1907	99%
10/04/04	9	154208	152171	2037	99%
10/04/04	90	154208	150243	3965	97%
10/04/04	91	154208	144654	9554	94%
10/04/04	93	154208	150193	4015	97%
10/04/04	94	154208	150562	3646	98%
10/04/04	95	154208	148247	5961	96%
10/04/04	96	154208	149922	4286	97%
10/04/04	97	154208	150073	4135	97%
10/04/04	98	154208	150509	3699	98%
10/04/04	99	154208	147927	6281	96%
					97%
