Folder,File,Mutants total,Mutants dead total,Mutants alive,Mutantion score
10-4-4,1,22698.0,8495.0,14203.0,0.3742620495197815
10-4-4,10,22116.0,8322.0,13794.0,0.37628865979381443
10-4-4,100,23280.0,8760.0,14520.0,0.37628865979381443
10-4-4,11,23280.0,8760.0,14520.0,0.37628865979381443
10-4-4,12,23280.0,8760.0,14520.0,0.37628865979381443
10-4-4,14,22116.0,8322.0,13794.0,0.37628865979381443
10-4-4,15,22698.0,8541.0,14157.0,0.37628865979381443
10-4-4,16,22698.0,8497.0,14201.0,0.3743501630099568
10-4-4,17,22698.0,8459.0,14239.0,0.37267600669662526
10-4-4,18,23280.0,8676.0,14604.0,0.37268041237113403
10-4-4,19,23280.0,8760.0,14520.0,0.37628865979381443
10-4-4,2,23280.0,8760.0,14520.0,0.37628865979381443
10-4-4,20,22698.0,8541.0,14157.0,0.37628865979381443
10-4-4,21,22116.0,8322.0,13794.0,0.37628865979381443
10-4-4,22,23280.0,8760.0,14520.0,0.37628865979381443
10-4-4,23,23280.0,8760.0,14520.0,0.37628865979381443
10-4-4,24,22698.0,8541.0,14157.0,0.37628865979381443
10-4-4,25,22698.0,8541.0,14157.0,0.37628865979381443
10-4-4,26,22698.0,8499.0,14199.0,0.37443827650013217
10-4-4,27,23280.0,8760.0,14520.0,0.37628865979381443
10-4-4,28,22116.0,8322.0,13794.0,0.37628865979381443
10-4-4,29,23280.0,8760.0,14520.0,0.37628865979381443
10-4-4,3,23280.0,8760.0,14520.0,0.37628865979381443
10-4-4,30,22698.0,8498.0,14200.0,0.3743942197550445
10-4-4,31,23280.0,8760.0,14520.0,0.37628865979381443
10-4-4,32,22116.0,8322.0,13794.0,0.37628865979381443
10-4-4,33,22698.0,8541.0,14157.0,0.37628865979381443
10-4-4,34,23280.0,8760.0,14520.0,0.37628865979381443
10-4-4,35,22116.0,8322.0,13794.0,0.37628865979381443
10-4-4,36,22698.0,8541.0,14157.0,0.37628865979381443
10-4-4,37,23280.0,8760.0,14520.0,0.37628865979381443
10-4-4,38,22698.0,8541.0,14157.0,0.37628865979381443
10-4-4,39,23280.0,8760.0,14520.0,0.37628865979381443
10-4-4,4,22116.0,8322.0,13794.0,0.37628865979381443
10-4-4,40,23280.0,8760.0,14520.0,0.37628865979381443
10-4-4,41,22698.0,8541.0,14157.0,0.37628865979381443
10-4-4,42,22698.0,8541.0,14157.0,0.37628865979381443
10-4-4,43,23280.0,8716.0,14564.0,0.37439862542955327
10-4-4,44,22116.0,8322.0,13794.0,0.37628865979381443
10-4-4,45,23280.0,8717.0,14563.0,0.37444158075601375
10-4-4,46,23280.0,8760.0,14520.0,0.37628865979381443
10-4-4,47,22698.0,8541.0,14157.0,0.37628865979381443
10-4-4,48,23280.0,8760.0,14520.0,0.37628865979381443
10-4-4,49,23280.0,8760.0,14520.0,0.37628865979381443
10-4-4,5,23280.0,8760.0,14520.0,0.37628865979381443
10-4-4,50,22116.0,8284.0,13832.0,0.3745704467353952
10-4-4,51,23280.0,8760.0,14520.0,0.37628865979381443
