Folder,File,Mutants total,Mutants dead total,Mutants alive,Mutantion score
10-4-4,1,154208.0,127079.0,27129.0,0.8240752749533098
10-4-4,10,154208.0,120137.0,34071.0,0.7790581552189251
10-4-4,100,154208.0,117178.0,37030.0,0.7598697862627101
10-4-4,11,154208.0,136151.0,18057.0,0.8829049076571903
10-4-4,12,154208.0,116299.0,37909.0,0.7541696928823407
10-4-4,14,154208.0,130013.0,24195.0,0.8431015252126998
10-4-4,15,154208.0,130206.0,24002.0,0.8443530815521892
10-4-4,16,154208.0,122721.0,31487.0,0.7958147437227641
10-4-4,17,154208.0,128109.0,26099.0,0.8307545652625026
10-4-4,18,154208.0,129608.0,24600.0,0.8404752023241336
10-4-4,19,154208.0,134452.0,19756.0,0.8718873210209587
10-4-4,2,154208.0,134903.0,19305.0,0.8748119423116829
10-4-4,20,154208.0,126111.0,28097.0,0.8177980390122432
10-4-4,21,154208.0,110717.0,43491.0,0.7179718302552397
10-4-4,22,154208.0,128200.0,26008.0,0.8313446773189458
10-4-4,23,154208.0,128431.0,25777.0,0.8328426540776095
10-4-4,24,154208.0,130339.0,23869.0,0.8452155530192986
10-4-4,25,154208.0,110572.0,43636.0,0.7170315418136542
10-4-4,26,154208.0,125210.0,28998.0,0.8119552811786678
10-4-4,27,154208.0,129667.0,24541.0,0.8408578024486408
10-4-4,28,154208.0,123343.0,30865.0,0.7998482568997718
10-4-4,29,154208.0,121676.0,32532.0,0.7890381821954763
10-4-4,3,154208.0,126632.0,27576.0,0.8211765926540776
10-4-4,30,154208.0,123712.0,30496.0,0.8022411288649097
10-4-4,31,154208.0,122014.0,32194.0,0.7912300269765512
10-4-4,32,154208.0,130276.0,23932.0,0.8448070139032995
10-4-4,33,154208.0,123178.0,31030.0,0.7987782735007263
10-4-4,34,154208.0,109987.0,44221.0,0.7132379643079477
10-4-4,35,154208.0,123885.0,30323.0,0.8033629902469392
10-4-4,36,154208.0,139610.0,14598.0,0.9053356505499066
10-4-4,37,154208.0,124140.0,30068.0,0.8050166009545549
10-4-4,38,154208.0,104406.0,49802.0,0.6770465864287196
10-4-4,39,154208.0,129897.0,24311.0,0.8423492944594314
10-4-4,4,154208.0,116834.0,37374.0,0.7576390329943972
