Folder,File,Mutants total,Mutants dead total,Mutants alive,Mutantion score
10-4-4,1,154208.0,3370.0,150838.0,0.02185360033201909
10-4-4,10,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,100,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,11,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,12,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,14,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,15,154208.0,3294.0,150914.0,0.021360759493670885
10-4-4,16,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,17,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,18,154208.0,4531.0,149677.0,0.029382392612575223
10-4-4,19,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,2,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,20,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,21,154208.0,5020.0,149188.0,0.03255343432247354
10-4-4,22,154208.0,3542.0,150666.0,0.022968976966175555
10-4-4,23,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,24,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,25,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,26,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,27,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,28,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,29,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,3,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,30,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,31,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,32,154208.0,3542.0,150666.0,0.022968976966175555
10-4-4,33,154208.0,4362.0,149846.0,0.028286470222037768
10-4-4,34,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,35,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,36,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,37,154208.0,3294.0,150914.0,0.021360759493670885
10-4-4,38,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,39,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,4,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,40,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,41,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,42,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,43,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,44,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,45,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,46,154208.0,4865.0,149343.0,0.03154829840215812
10-4-4,47,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,48,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,49,154208.0,5028.0,149180.0,0.032605312305457566
10-4-4,5,154208.0,3294.0,150914.0,0.021360759493670885
10-4-4,50,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,51,154208.0,3370.0,150838.0,0.02185360033201909
10-4-4,52,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,53,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,54,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,55,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,56,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,57,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,58,154208.0,8393.0,145815.0,0.05442648889811164
10-4-4,59,154208.0,3370.0,150838.0,0.02185360033201909
10-4-4,6,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,60,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,61,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,62,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,63,154208.0,3294.0,150914.0,0.021360759493670885
10-4-4,64,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,65,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,66,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,67,154208.0,4765.0,149443.0,0.030899823614857855
10-4-4,68,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,69,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,7,154208.0,6841.0,147367.0,0.04436216019921146
10-4-4,70,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,71,154208.0,1568.0,152640.0,0.01016808466486823
10-4-4,72,154208.0,5106.0,149102.0,0.03311112263955177
10-4-4,73,154208.0,5268.0,148940.0,0.03416165179497821
