Folder,File,Mutants total,Mutants dead total,Mutants alive,Mutantion score
10-4-4,1,154208.0,135069.0,19139.0,0.8758884104586013
10-4-4,10,154208.0,141955.0,12253.0,0.9205423843120979
10-4-4,100,154208.0,134425.0,19783.0,0.8717122328283876
10-4-4,11,154208.0,137028.0,17180.0,0.8885920315418137
10-4-4,12,154208.0,142923.0,11285.0,0.9268196202531646
10-4-4,14,154208.0,147482.0,6726.0,0.9563835858061839
10-4-4,15,154208.0,133424.0,20784.0,0.8652210002075119
10-4-4,16,154208.0,132643.0,21565.0,0.8601564121186969
10-4-4,17,154208.0,130190.0,24018.0,0.8442493255862212
10-4-4,18,154208.0,136267.0,17941.0,0.8836571384104586
10-4-4,19,154208.0,129925.0,24283.0,0.8425308673998755
10-4-4,2,154208.0,139512.0,14696.0,0.9047001452583524
10-4-4,20,154208.0,121361.0,32847.0,0.7869954866154804
10-4-4,21,154208.0,127318.0,26890.0,0.8256251296949575
10-4-4,22,154208.0,143882.0,10326.0,0.9330384934633742
10-4-4,23,154208.0,136235.0,17973.0,0.8834496264785225
10-4-4,24,154208.0,124351.0,29857.0,0.8063848827557585
10-4-4,25,154208.0,136823.0,17385.0,0.8872626582278481
10-4-4,26,154208.0,135861.0,18347.0,0.8810243307740195
10-4-4,27,154208.0,138519.0,15689.0,0.8982607906204607
10-4-4,28,154208.0,129259.0,24949.0,0.8382120253164557
10-4-4,29,154208.0,138271.0,15937.0,0.896652573147956
10-4-4,3,154208.0,139615.0,14593.0,0.9053680742892717
10-4-4,30,154208.0,132015.0,22193.0,0.8560839904544512
10-4-4,31,154208.0,133647.0,20561.0,0.8666670989831915
10-4-4,32,154208.0,135395.0,18813.0,0.8780024382652003
10-4-4,33,154208.0,142656.0,11552.0,0.9250881925710729
10-4-4,34,154208.0,137070.0,17138.0,0.8888643909524798
10-4-4,35,154208.0,133405.0,20803.0,0.8650977899979249
10-4-4,36,154208.0,135498.0,18710.0,0.8786703672961196
10-4-4,37,154208.0,135918.0,18290.0,0.8813939614027807
10-4-4,38,154208.0,130342.0,23866.0,0.8452350072629177
10-4-4,39,154208.0,139951.0,14257.0,0.9075469495746006
10-4-4,4,154208.0,134140.0,20068.0,0.8698640796845819
10-4-4,40,154208.0,138562.0,15646.0,0.8985396347789998
10-4-4,41,154208.0,137884.0,16324.0,0.894142975721104
10-4-4,42,154208.0,138545.0,15663.0,0.8984293940651588
10-4-4,43,154208.0,147456.0,6752.0,0.9562149823614858
10-4-4,44,154208.0,131282.0,22926.0,0.8513306702635401
10-4-4,45,154208.0,134140.0,20068.0,0.8698640796845819
10-4-4,46,154208.0,142777.0,11431.0,0.9258728470637062
10-4-4,47,154208.0,130803.0,23405.0,0.8482244760323718
10-4-4,48,154208.0,141668.0,12540.0,0.9186812616725462
10-4-4,49,154208.0,137404.0,16804.0,0.8910302967420627
10-4-4,5,154208.0,138182.0,16026.0,0.8960754305872588
10-4-4,50,154208.0,136902.0,17306.0,0.8877749533098153
10-4-4,51,154208.0,137358.0,16850.0,0.8907319983399046
10-4-4,52,154208.0,135019.0,19189.0,0.8755641730649513
10-4-4,53,154208.0,145538.0,8670.0,0.9437772359410667
10-4-4,54,154208.0,142805.0,11403.0,0.9260544200041503
10-4-4,55,154208.0,140986.0,13222.0,0.9142586636231583
10-4-4,56,154208.0,141916.0,12292.0,0.9202894791450509
10-4-4,57,154208.0,134326.0,19882.0,0.8710702427889604
10-4-4,58,154208.0,140167.0,14041.0,0.9089476551151692
10-4-4,59,154208.0,138767.0,15441.0,0.8998690080929653
10-4-4,6,154208.0,124118.0,30090.0,0.8048739365013489
10-4-4,60,154208.0,139154.0,15054.0,0.9023786055198174
10-4-4,61,154208.0,137835.0,16373.0,0.8938252230753269
10-4-4,62,154208.0,117566.0,36642.0,0.7623858684374352
10-4-4,63,154208.0,135835.0,18373.0,0.8808557273293214
10-4-4,64,154208.0,134712.0,19496.0,0.8735733554679395
10-4-4,65,154208.0,133020.0,21188.0,0.8626011620668188
10-4-4,66,154208.0,146763.0,7445.0,0.951721052085495
10-4-4,67,154208.0,134148.0,20060.0,0.8699159576675659
10-4-4,68,154208.0,132776.0,21432.0,0.8610188835858061
10-4-4,69,154208.0,137098.0,17110.0,0.8890459638929239
10-4-4,7,154208.0,128760.0,25448.0,0.8349761361278274
10-4-4,70,154208.0,129289.0,24919.0,0.8384065677526458
10-4-4,71,154208.0,131729.0,22479.0,0.8542293525627723
10-4-4,72,154208.0,149390.0,4818.0,0.968756484747873
10-4-4,73,154208.0,132311.0,21897.0,0.8580034758248599
10-4-4,75,154208.0,131503.0,22705.0,0.8527637995434737
10-4-4,76,154208.0,142073.0,12135.0,0.9213075845611123
10-4-4,77,154208.0,133844.0,20364.0,0.867944594314173
10-4-4,78,154208.0,136917.0,17291.0,0.8878722245279104
10-4-4,79,154208.0,137214.0,16994.0,0.8897981946461921
10-4-4,8,154208.0,132413.0,21795.0,0.8586649201079062
10-4-4,80,154208.0,127280.0,26928.0,0.8253787092757834
10-4-4,81,154208.0,135945.0,18263.0,0.8815690495953518
10-4-4,82,154208.0,129837.0,24371.0,0.8419602095870512
10-4-4,83,154208.0,137469.0,16739.0,0.8914518053538079
10-4-4,84,154208.0,135589.0,18619.0,0.8792604793525628
10-4-4,85,154208.0,141012.0,13196.0,0.9144272670678564
10-4-4,86,154208.0,139629.0,14579.0,0.9054588607594937
10-4-4,87,154208.0,137004.0,17204.0,0.8884363975928616
10-4-4,88,154208.0,142125.0,12083.0,0.9216447914505084
10-4-4,89,154208.0,138413.0,15795.0,0.8975734073459224
10-4-4,9,154208.0,135780.0,18428.0,0.8804990661963062
10-4-4,90,154208.0,141781.0,12427.0,0.9194140381821955
10-4-4,91,154208.0,144729.0,9479.0,0.9385310749118074
10-4-4,93,154208.0,126578.0,27630.0,0.8208264162689355
10-4-4,94,154208.0,143216.0,10992.0,0.9287196513799544
10-4-4,95,154208.0,137002.0,17206.0,0.8884234280971156
10-4-4,96,154208.0,117540.0,36668.0,0.7622172649927371
10-4-4,97,154208.0,130945.0,23263.0,0.8491453102303382
10-4-4,98,154208.0,138191.0,16017.0,0.8961337933181158
10-4-4,99,154208.0,138679.0,15529.0,0.8992983502801412
12-4-4,1,154208.0,140381.0,13827.0,0.9103353911599917
12-4-4,10,154208.0,137314.0,16894.0,0.8904466694334924
12-4-4,100,154208.0,138389.0,15819.0,0.8974177733969704
12-4-4,11,154208.0,137689.0,16519.0,0.8928784498858684
12-4-4,12,154208.0,142355.0,11853.0,0.9231362834612991
12-4-4,13,154208.0,136791.0,17417.0,0.887055146295912
12-4-4,14,154208.0,131470.0,22738.0,0.8525498028636647
12-4-4,15,154208.0,115123.0,39085.0,0.7465436293836896
12-4-4,16,154208.0,139751.0,14457.0,0.90625
12-4-4,17,154208.0,137847.0,16361.0,0.8939030400498028
12-4-4,18,154208.0,134645.0,19563.0,0.8731388773604483
12-4-4,19,154208.0,144675.0,9533.0,0.9381808985266653
12-4-4,2,154208.0,144358.0,9850.0,0.9361252334509235
12-4-4,20,154208.0,137518.0,16690.0,0.891769557999585
12-4-4,21,154208.0,135540.0,18668.0,0.8789427267067856
12-4-4,22,154208.0,136973.0,17235.0,0.8882353704087985
12-4-4,23,154208.0,145600.0,8608.0,0.9441792903091928
12-4-4,24,154208.0,135053.0,19155.0,0.8757846544926333
12-4-4,25,154208.0,140416.0,13792.0,0.9105623573355468
12-4-4,26,154208.0,140322.0,13886.0,0.9099527910354845
12-4-4,27,154208.0,146074.0,8134.0,0.947253060800996
12-4-4,28,154208.0,148374.0,5834.0,0.9621679809089022
12-4-4,29,154208.0,134997.0,19211.0,0.8754215086117452
12-4-4,3,154208.0,144457.0,9751.0,0.9367672234903507
12-4-4,30,154208.0,139995.0,14213.0,0.9078322784810127
12-4-4,31,154208.0,139885.0,14323.0,0.9071189562149824
12-4-4,32,154208.0,141321.0,12887.0,0.9164310541606142
12-4-4,33,154208.0,145201.0,9007.0,0.9415918759078648
12-4-4,34,154208.0,140736.0,13472.0,0.9126374766549077
12-4-4,35,154208.0,132218.0,21990.0,0.8574003942726707
12-4-4,36,154208.0,145225.0,8983.0,0.9417475098568168
12-4-4,37,154208.0,128518.0,25690.0,0.8334068271425606
12-4-4,38,154208.0,143847.0,10361.0,0.932811527287819
12-4-4,39,154208.0,131262.0,22946.0,0.8512009753060801
12-4-4,4,154208.0,138494.0,15714.0,0.8980986719236356
12-4-4,40,154208.0,134526.0,19682.0,0.8723671923635609
12-4-4,41,154208.0,138603.0,15605.0,0.8988055094417929
12-4-4,42,154208.0,133137.0,21071.0,0.8633598775679602
12-4-4,43,154208.0,133307.0,20901.0,0.8644622847063707
12-4-4,44,154208.0,139408.0,14800.0,0.9040257314795601
12-4-4,45,154208.0,138433.0,15775.0,0.8977031023033825
12-4-4,46,154208.0,143588.0,10620.0,0.9311319775887114
12-4-4,47,154208.0,147258.0,6950.0,0.9549310022826313
12-4-4,48,154208.0,145584.0,8624.0,0.9440755343432248
12-4-4,49,154208.0,136176.0,18032.0,0.8830670263540153
12-4-4,5,154208.0,141594.0,12614.0,0.918201390329944
12-4-4,50,154208.0,134685.0,19523.0,0.8733982672753683
12-4-4,51,154208.0,132259.0,21949.0,0.8576662689354638
12-4-4,52,154208.0,135291.0,18917.0,0.877328024486408
12-4-4,53,154208.0,143107.0,11101.0,0.928012813861797
12-4-4,54,154208.0,142093.0,12115.0,0.9214372795185723
12-4-4,55,154208.0,137098.0,17110.0,0.8890459638929239
12-4-4,56,154208.0,133430.0,20778.0,0.86525990869475
12-4-4,57,154208.0,140931.0,13277.0,0.9139020024901432
12-4-4,58,154208.0,139625.0,14583.0,0.9054329217680016
12-4-4,59,154208.0,137212.0,16996.0,0.8897852251504461
12-4-4,6,154208.0,139170.0,15038.0,0.9024823614857854
12-4-4,60,154208.0,143027.0,11181.0,0.9274940340319568
12-4-4,61,154208.0,135551.0,18657.0,0.8790140589333887
12-4-4,62,154208.0,141175.0,13033.0,0.9154842809711559
12-4-4,63,154208.0,111948.0,42260.0,0.725954554886906
12-4-4,64,154208.0,148674.0,5534.0,0.964113405270803
12-4-4,65,154208.0,136648.0,17560.0,0.8861278273500727
12-4-4,66,154208.0,133635.0,20573.0,0.8665892820087155
12-4-4,67,154208.0,144156.0,10052.0,0.9348153143805769
12-4-4,68,154208.0,149073.0,5135.0,0.9667008196721312
12-4-4,69,154208.0,136861.0,17347.0,0.8875090786470222
12-4-4,7,154208.0,133621.0,20587.0,0.8664984955384935
12-4-4,70,154208.0,142318.0,11890.0,0.922896347789998
12-4-4,71,154208.0,145290.0,8918.0,0.9421690184685619
12-4-4,72,154208.0,139512.0,14696.0,0.9047001452583524
12-4-4,73,154208.0,133488.0,20720.0,0.8656360240713841
12-4-4,74,154208.0,143609.0,10599.0,0.9312681572940444
12-4-4,75,154208.0,138327.0,15881.0,0.8970157190288441
12-4-4,76,154208.0,133969.0,20239.0,0.8687551877982984
12-4-4,77,154208.0,140530.0,13678.0,0.9113016185930691
12-4-4,78,154208.0,132863.0,21345.0,0.8615830566507574
12-4-4,79,154208.0,143540.0,10668.0,0.9308207096908072
12-4-4,8,154208.0,146671.0,7537.0,0.9511244552811786
12-4-4,80,154208.0,128629.0,25579.0,0.834126634156464
12-4-4,81,154208.0,142928.0,11280.0,0.9268520439925295
12-4-4,82,154208.0,140989.0,13219.0,0.9142781178667774
12-4-4,83,154208.0,144087.0,10121.0,0.9343678667773397
12-4-4,84,154208.0,132499.0,21709.0,0.8592226084249844
12-4-4,85,154208.0,147770.0,6438.0,0.9582511931936086
12-4-4,86,154208.0,143745.0,10463.0,0.9321500830047728
12-4-4,87,154208.0,143248.0,10960.0,0.9289271633118904
12-4-4,88,154208.0,139879.0,14329.0,0.9070800477277443
12-4-4,89,154208.0,143515.0,10693.0,0.9306585909939822
12-4-4,9,154208.0,136357.0,17851.0,0.8842407657190289
12-4-4,90,154208.0,145489.0,8719.0,0.9434594832952895
12-4-4,91,154208.0,143640.0,10568.0,0.9314691844781074
12-4-4,92,154208.0,148601.0,5607.0,0.9636400186760739
12-4-4,93,154208.0,143084.0,11124.0,0.927863664660718
12-4-4,94,154208.0,145898.0,8310.0,0.9461117451753476
12-4-4,95,154208.0,136314.0,17894.0,0.8839619215604897
12-4-4,96,154208.0,138792.0,15416.0,0.9000311267897904
12-4-4,97,154208.0,137768.0,16440.0,0.8933907449678357
12-4-4,99,154208.0,143501.0,10707.0,0.9305678045237601
14-4-4,1,154208.0,141586.0,12622.0,0.91814951234696
14-4-4,10,154208.0,139882.0,14326.0,0.9070995019713634
14-4-4,100,154208.0,139170.0,15038.0,0.9024823614857854
14-4-4,11,154208.0,144421.0,9787.0,0.9365337725669226
14-4-4,12,154208.0,141835.0,12373.0,0.9197642145673376
14-4-4,13,154208.0,140239.0,13969.0,0.9094145569620253
14-4-4,14,154208.0,145119.0,9089.0,0.9410601265822784
14-4-4,15,154208.0,125727.0,28481.0,0.8153078958290102
14-4-4,16,154208.0,141841.0,12367.0,0.9198031230545757
14-4-4,17,154208.0,145595.0,8613.0,0.9441468665698277
14-4-4,18,154208.0,148735.0,5473.0,0.9645089748910562
14-4-4,2,154208.0,139013.0,15195.0,0.901464256069724
14-4-4,20,154208.0,133825.0,20383.0,0.867821384104586
14-4-4,21,154208.0,139492.0,14716.0,0.9045704503008923
14-4-4,22,154208.0,147827.0,6381.0,0.9586208238223698
14-4-4,23,154208.0,147932.0,6276.0,0.9593017223490351
14-4-4,24,154208.0,126209.0,27999.0,0.8184335443037974
14-4-4,25,154208.0,130956.0,23252.0,0.8492166424569413
14-4-4,26,154208.0,145309.0,8899.0,0.942292228678149
14-4-4,27,154208.0,139226.0,14982.0,0.9028455073666736
14-4-4,28,154208.0,143805.0,10403.0,0.932539167877153
14-4-4,29,154208.0,138867.0,15341.0,0.9005174828802656
14-4-4,3,154208.0,141685.0,12523.0,0.9187915023863872
14-4-4,30,154208.0,140203.0,14005.0,0.9091811060385973
14-4-4,31,154208.0,125837.0,28371.0,0.8160212180950405
14-4-4,32,154208.0,135445.0,18763.0,0.8783266756588504
14-4-4,33,154208.0,145718.0,8490.0,0.9449444905582071
14-4-4,34,154208.0,144575.0,9633.0,0.937532423739365
14-4-4,35,154208.0,143388.0,10820.0,0.9298350280141108
14-4-4,36,154208.0,144631.0,9577.0,0.9378955696202531
14-4-4,37,154208.0,136523.0,17685.0,0.8853172338659473
