Folder,File,Mutants total,Mutants dead total,Mutants alive,Mutantion score
10-4-4,1,22698.0,18699.0,3999.0,0.8238170763943959
10-4-4,10,22116.0,19085.0,3031.0,0.8629499005245072
10-4-4,100,23280.0,13952.0,9328.0,0.5993127147766323
10-4-4,11,23280.0,18164.0,5116.0,0.7802405498281787
10-4-4,12,23280.0,14197.0,9083.0,0.6098367697594502
10-4-4,14,22116.0,17670.0,4446.0,0.7989690721649485
10-4-4,15,22698.0,16656.0,6042.0,0.7338091461802801
10-4-4,16,22698.0,16564.0,6134.0,0.7297559256322143
10-4-4,17,22698.0,19755.0,2943.0,0.8703409992069786
10-4-4,18,23280.0,14064.0,9216.0,0.6041237113402061
10-4-4,19,23280.0,17244.0,6036.0,0.7407216494845361
10-4-4,2,23280.0,17155.0,6125.0,0.7368986254295533
10-4-4,20,22698.0,13204.0,9494.0,0.5817252621376333
10-4-4,21,22116.0,9578.0,12538.0,0.43308012298788207
10-4-4,22,23280.0,20322.0,2958.0,0.8729381443298969
10-4-4,23,23280.0,20274.0,3006.0,0.8708762886597938
10-4-4,24,22698.0,13804.0,8894.0,0.608159309190237
10-4-4,25,22698.0,16315.0,6383.0,0.7187857961053837
10-4-4,26,22698.0,19089.0,3609.0,0.8409992069785884
10-4-4,27,23280.0,15175.0,8105.0,0.6518470790378007
10-4-4,28,22116.0,16999.0,5117.0,0.7686290468439139
10-4-4,29,23280.0,17642.0,5638.0,0.7578178694158075
10-4-4,3,23280.0,18081.0,5199.0,0.7766752577319588
10-4-4,30,22698.0,18107.0,4591.0,0.7977354833024937
10-4-4,31,23280.0,14537.0,8743.0,0.6244415807560137
10-4-4,32,22116.0,15914.0,6202.0,0.7195695424127329
10-4-4,33,22698.0,16087.0,6611.0,0.7087408582253943
10-4-4,34,23280.0,16639.0,6641.0,0.714733676975945
10-4-4,35,22116.0,15129.0,6987.0,0.6840748779164406
10-4-4,36,22698.0,16613.0,6085.0,0.7319147061415102
10-4-4,37,23280.0,19366.0,3914.0,0.831872852233677
10-4-4,38,22698.0,13100.0,9598.0,0.5771433606485152
10-4-4,39,23280.0,20451.0,2829.0,0.878479381443299
10-4-4,4,22116.0,16504.0,5612.0,0.7462470609513474
10-4-4,40,23280.0,16883.0,6397.0,0.7252147766323024
10-4-4,41,22698.0,17426.0,5272.0,0.7677328398977884
10-4-4,42,22698.0,17768.0,4930.0,0.7828002467177725
10-4-4,43,23280.0,19179.0,4101.0,0.823840206185567
10-4-4,44,22116.0,17137.0,4979.0,0.7748688732139627
10-4-4,45,23280.0,16238.0,7042.0,0.6975085910652921
10-4-4,46,23280.0,16463.0,6817.0,0.7071735395189004
10-4-4,47,22698.0,17818.0,4880.0,0.7850030839721561
10-4-4,48,23280.0,17846.0,5434.0,0.7665807560137458
10-4-4,49,23280.0,16007.0,7273.0,0.687585910652921
10-4-4,5,23280.0,17869.0,5411.0,0.7675687285223368
10-4-4,50,22116.0,14873.0,7243.0,0.6724995478386688
10-4-4,51,23280.0,19357.0,3923.0,0.8314862542955327
10-4-4,52,22698.0,19989.0,2709.0,0.880650277557494
10-4-4,53,22698.0,19966.0,2732.0,0.8796369724204776
10-4-4,54,22698.0,15921.0,6777.0,0.7014274385408406
10-4-4,55,22698.0,17952.0,4746.0,0.7909066878139043
10-4-4,56,22698.0,18023.0,4675.0,0.794034716715129
10-4-4,57,22116.0,15501.0,6615.0,0.7008952794357026
10-4-4,58,23280.0,19781.0,3499.0,0.8496993127147766
10-4-4,59,23280.0,16160.0,7120.0,0.6941580756013745
10-4-4,6,22698.0,12837.0,9861.0,0.5655564366904573
10-4-4,60,23280.0,14458.0,8822.0,0.6210481099656358
10-4-4,61,23280.0,16925.0,6355.0,0.7270189003436426
10-4-4,62,23280.0,17136.0,6144.0,0.7360824742268042
10-4-4,63,23280.0,15852.0,7428.0,0.6809278350515464
10-4-4,64,22116.0,13808.0,8308.0,0.6243443660698137
10-4-4,65,23280.0,14090.0,9190.0,0.6052405498281787
10-4-4,66,22698.0,15773.0,6925.0,0.694907040267865
10-4-4,67,22698.0,16958.0,5740.0,0.7471142831967574
10-4-4,68,23280.0,18931.0,4349.0,0.8131872852233677
10-4-4,69,23280.0,13963.0,9317.0,0.5997852233676976
10-4-4,7,23280.0,13625.0,9655.0,0.585266323024055
10-4-4,70,23280.0,15984.0,7296.0,0.6865979381443299
10-4-4,71,23280.0,18000.0,5280.0,0.7731958762886598
10-4-4,72,23280.0,19323.0,3957.0,0.8300257731958763
10-4-4,73,22698.0,19549.0,3149.0,0.861265309718918
10-4-4,75,23280.0,13015.0,10265.0,0.5590635738831615
10-4-4,76,22116.0,14189.0,7927.0,0.6415717127871224
10-4-4,77,23280.0,15809.0,7471.0,0.6790807560137457
10-4-4,78,22698.0,17294.0,5404.0,0.7619173495462155
10-4-4,79,23280.0,20040.0,3240.0,0.8608247422680413
10-4-4,8,23280.0,14617.0,8663.0,0.6278780068728522
10-4-4,80,22698.0,15086.0,7612.0,0.6646400563926337
10-4-4,81,22698.0,17160.0,5538.0,0.7560137457044673
10-4-4,82,22698.0,19583.0,3115.0,0.8627632390518989
10-4-4,83,23280.0,14484.0,8796.0,0.6221649484536083
10-4-4,84,23280.0,15344.0,7936.0,0.659106529209622
10-4-4,85,23280.0,20182.0,3098.0,0.8669243986254296
