Folder,File,Mutants total,Mutants dead total,Mutants alive,Mutantion score
10-4-4,1,154208.0,150485.0,3723.0,0.975857283668811
10-4-4,10,154208.0,150638.0,3570.0,0.9768494500933804
10-4-4,100,154208.0,146764.0,7444.0,0.951727536833368
10-4-4,11,154208.0,144495.0,9713.0,0.9370136439095248
10-4-4,12,154208.0,151574.0,2634.0,0.9829191741025108
10-4-4,14,154208.0,148401.0,5807.0,0.9623430691014734
10-4-4,15,154208.0,150678.0,3530.0,0.9771088400083004
10-4-4,16,154208.0,150269.0,3939.0,0.9744565781282424
10-4-4,17,154208.0,146278.0,7930.0,0.9485759493670886
10-4-4,18,154208.0,150190.0,4018.0,0.9739442830462751
10-4-4,19,154208.0,149766.0,4442.0,0.971194749948122
10-4-4,2,154208.0,152234.0,1974.0,0.9871991076986927
10-4-4,20,154208.0,152199.0,2009.0,0.9869721415231376
10-4-4,21,154208.0,151682.0,2526.0,0.9836195268727952
10-4-4,22,154208.0,146402.0,7806.0,0.9493800581033409
10-4-4,23,154208.0,150828.0,3380.0,0.9780815521892509
10-4-4,24,154208.0,149912.0,4296.0,0.9721415231375804
10-4-4,25,154208.0,150092.0,4116.0,0.9733087777547209
10-4-4,26,154208.0,148360.0,5848.0,0.9620771944386802
10-4-4,27,154208.0,146048.0,8160.0,0.947084457356298
10-4-4,28,154208.0,150093.0,4115.0,0.9733152625025939
10-4-4,29,154208.0,151567.0,2641.0,0.9828737808673998
10-4-4,3,154208.0,149667.0,4541.0,0.9705527599086947
10-4-4,30,154208.0,146222.0,7986.0,0.9482128034862004
10-4-4,31,154208.0,151600.0,2608.0,0.983087777547209
10-4-4,32,154208.0,152056.0,2152.0,0.9860448225772982
10-4-4,33,154208.0,147724.0,6484.0,0.9579528947914505
10-4-4,34,154208.0,148531.0,5677.0,0.9631860863249637
10-4-4,35,154208.0,152226.0,1982.0,0.9871472297157087
10-4-4,36,154208.0,150471.0,3737.0,0.9757664971985889
10-4-4,37,154208.0,146174.0,8034.0,0.9479015355882964
10-4-4,38,154208.0,150558.0,3650.0,0.9763306702635401
10-4-4,39,154208.0,150519.0,3689.0,0.976077765096493
10-4-4,4,154208.0,152625.0,1583.0,0.9897346441170367
10-4-4,40,154208.0,152517.0,1691.0,0.9890342913467525
10-4-4,41,154208.0,149950.0,4258.0,0.9723879435567545
10-4-4,42,154208.0,149906.0,4302.0,0.9721026146503424
10-4-4,43,154208.0,152065.0,2143.0,0.9861031853081552
10-4-4,44,154208.0,146170.0,8038.0,0.9478755965968043
10-4-4,45,154208.0,150333.0,3875.0,0.9748716019921145
10-4-4,46,154208.0,148067.0,6141.0,0.9601771633118904
10-4-4,47,154208.0,150237.0,3971.0,0.9742490661963062
10-4-4,48,154208.0,150456.0,3752.0,0.9756692259804939
10-4-4,49,154208.0,144140.0,10068.0,0.9347115584146088
10-4-4,5,154208.0,151943.0,2265.0,0.9853120460676489
10-4-4,50,154208.0,150691.0,3517.0,0.9771931417306495
10-4-4,51,154208.0,146622.0,7586.0,0.9508067026354016
10-4-4,52,154208.0,146456.0,7752.0,0.949730234488483
10-4-4,53,154208.0,152351.0,1857.0,0.9879578231998339
10-4-4,54,154208.0,150343.0,3865.0,0.9749364494708446
10-4-4,55,154208.0,151949.0,2259.0,0.9853509545548869
10-4-4,56,154208.0,150657.0,3551.0,0.9769726603029674
10-4-4,57,154208.0,150601.0,3607.0,0.9766095144220792
10-4-4,58,154208.0,148242.0,5966.0,0.961311994189666
10-4-4,59,154208.0,144457.0,9751.0,0.9367672234903507
10-4-4,6,154208.0,146164.0,8044.0,0.9478366881095663
10-4-4,60,154208.0,150356.0,3852.0,0.9750207511931936
10-4-4,61,154208.0,148730.0,5478.0,0.9644765511516912
10-4-4,62,154208.0,144039.0,10169.0,0.9340565988794356
10-4-4,63,154208.0,152574.0,1634.0,0.9894039219755136
10-4-4,64,154208.0,152453.0,1755.0,0.9886192674828803
10-4-4,65,154208.0,149902.0,4306.0,0.9720766756588504
10-4-4,66,154208.0,148384.0,5824.0,0.9622328283876322
10-4-4,67,154208.0,150420.0,3788.0,0.9754357750570658
10-4-4,68,154208.0,144613.0,9595.0,0.9377788441585391
10-4-4,69,154208.0,150439.0,3769.0,0.9755589852666529
10-4-4,7,154208.0,152265.0,1943.0,0.9874001348827558
10-4-4,70,154208.0,150369.0,3839.0,0.9751050529155426
10-4-4,71,154208.0,148302.0,5906.0,0.961701079062046
10-4-4,72,154208.0,150662.0,3546.0,0.9770050840423324
10-4-4,73,154208.0,149977.0,4231.0,0.9725630317493256
10-4-4,75,154208.0,150315.0,3893.0,0.9747548765304005
10-4-4,76,154208.0,150487.0,3721.0,0.975870253164557
10-4-4,77,154208.0,150375.0,3833.0,0.9751439614027807
10-4-4,78,154208.0,148261.0,5947.0,0.961435204399253
10-4-4,79,154208.0,152077.0,2131.0,0.9861810022826313
10-4-4,8,154208.0,144414.0,9794.0,0.9364883793318116
10-4-4,80,154208.0,149794.0,4414.0,0.9713763228885661
10-4-4,81,154208.0,152035.0,2173.0,0.9859086428719651
10-4-4,82,154208.0,146234.0,7974.0,0.9482906204606765
10-4-4,83,154208.0,150096.0,4112.0,0.9733347167462129
10-4-4,84,154208.0,149937.0,4271.0,0.9723036418344054
10-4-4,85,154208.0,148372.0,5836.0,0.9621550114131563
10-4-4,86,154208.0,148315.0,5893.0,0.9617853807843951
10-4-4,87,154208.0,148415.0,5793.0,0.9624338555716954
10-4-4,88,154208.0,142292.0,11916.0,0.9227277443452998
10-4-4,89,154208.0,152301.0,1907.0,0.9876335858061839
10-4-4,9,154208.0,152171.0,2037.0,0.9867905685826935
10-4-4,90,154208.0,150243.0,3965.0,0.9742879746835443
10-4-4,91,154208.0,144654.0,9554.0,0.9380447188213322
10-4-4,93,154208.0,150193.0,4015.0,0.9739637372898942
10-4-4,94,154208.0,150562.0,3646.0,0.9763566092550322
10-4-4,95,154208.0,148247.0,5961.0,0.9613444179290309
10-4-4,96,154208.0,149922.0,4286.0,0.9722063706163104
10-4-4,97,154208.0,150073.0,4135.0,0.9731855675451339
10-4-4,98,154208.0,150509.0,3699.0,0.976012917617763
10-4-4,99,154208.0,147927.0,6281.0,0.95926929860967
12-4-4,1,154208.0,152238.0,1970.0,0.9872250466901847
12-4-4,10,154208.0,150135.0,4073.0,0.97358762191326
12-4-4,100,154208.0,150868.0,3340.0,0.978340942104171
12-4-4,11,154208.0,150189.0,4019.0,0.9739377982984022
12-4-4,12,154208.0,152059.0,2149.0,0.9860642768209172
12-4-4,13,154208.0,151015.0,3193.0,0.9792942000415024
12-4-4,14,154208.0,149000.0,5208.0,0.966227433077402
12-4-4,15,154208.0,142976.0,11232.0,0.9271633118904337
12-4-4,16,154208.0,150093.0,4115.0,0.9733152625025939
12-4-4,17,154208.0,149004.0,5204.0,0.966253372068894
12-4-4,18,154208.0,152742.0,1466.0,0.9904933596181781
12-4-4,19,154208.0,150835.0,3373.0,0.9781269454243618
12-4-4,2,154208.0,148835.0,5373.0,0.9651574496783565
12-4-4,20,154208.0,150026.0,4182.0,0.9728807843951027
12-4-4,21,154208.0,152953.0,1255.0,0.9918616414193816
12-4-4,22,154208.0,152635.0,1573.0,0.9897994915957667
12-4-4,23,154208.0,150081.0,4127.0,0.9732374455281179
12-4-4,24,154208.0,152322.0,1886.0,0.987769765511517
12-4-4,25,154208.0,150541.0,3667.0,0.9762204295496991
12-4-4,26,154208.0,151189.0,3019.0,0.9804225461714049
12-4-4,27,154208.0,148712.0,5496.0,0.9643598256899771
12-4-4,28,154208.0,150453.0,3755.0,0.9756497717368748
12-4-4,29,154208.0,148907.0,5301.0,0.9656243515252128
12-4-4,3,154208.0,150547.0,3661.0,0.9762593380369371
12-4-4,30,154208.0,150761.0,3447.0,0.9776470740817597
12-4-4,31,154208.0,150447.0,3761.0,0.9756108632496369
12-4-4,32,154208.0,152570.0,1638.0,0.9893779829840216
12-4-4,33,154208.0,148968.0,5240.0,0.9660199211454659
12-4-4,34,154208.0,147242.0,6966.0,0.9548272463166632
12-4-4,35,154208.0,152561.0,1647.0,0.9893196202531646
12-4-4,36,154208.0,146915.0,7293.0,0.9527067337621913
12-4-4,37,154208.0,151841.0,2367.0,0.9846506017846026
12-4-4,38,154208.0,152424.0,1784.0,0.9884312097945632
12-4-4,39,154208.0,152246.0,1962.0,0.9872769246731687
12-4-4,4,154208.0,151748.0,2460.0,0.9840475202324134
12-4-4,40,154208.0,150247.0,3961.0,0.9743139136750363
12-4-4,41,154208.0,150334.0,3874.0,0.9748780867399875
12-4-4,42,154208.0,147046.0,7162.0,0.9535562357335546
12-4-4,43,154208.0,150656.0,3552.0,0.9769661755550945
12-4-4,44,154208.0,152665.0,1543.0,0.9899940340319568
12-4-4,45,154208.0,150649.0,3559.0,0.9769207823199834
12-4-4,46,154208.0,151213.0,2995.0,0.9805781801203569
12-4-4,47,154208.0,152409.0,1799.0,0.9883339385764681
12-4-4,48,154208.0,150037.0,4171.0,0.9729521166217058
12-4-4,49,154208.0,150804.0,3404.0,0.9779259182402988
12-4-4,5,154208.0,149292.0,4916.0,0.9681209794563187
12-4-4,50,154208.0,148731.0,5477.0,0.9644830358995642
12-4-4,51,154208.0,146795.0,7413.0,0.951928564017431
12-4-4,52,154208.0,149840.0,4368.0,0.9716746212907242
12-4-4,53,154208.0,148659.0,5549.0,0.964016134052708
12-4-4,54,154208.0,148103.0,6105.0,0.9604106142353185
12-4-4,55,154208.0,146469.0,7739.0,0.9498145362108321
12-4-4,56,154208.0,150512.0,3696.0,0.976032371861382
12-4-4,57,154208.0,150641.0,3567.0,0.9768689043369994
12-4-4,58,154208.0,152035.0,2173.0,0.9859086428719651
12-4-4,59,154208.0,152544.0,1664.0,0.9892093795393235
12-4-4,6,154208.0,146550.0,7658.0,0.9503398007885453
12-4-4,60,154208.0,150285.0,3923.0,0.9745603340942104
12-4-4,61,154208.0,152034.0,2174.0,0.9859021581240921
12-4-4,62,154208.0,150357.0,3851.0,0.9750272359410667
12-4-4,63,154208.0,152534.0,1674.0,0.9891445320605935
12-4-4,64,154208.0,150919.0,3289.0,0.9786716642456941
12-4-4,65,154208.0,151951.0,2257.0,0.9853639240506329
12-4-4,66,154208.0,152313.0,1895.0,0.9877114027806599
12-4-4,67,154208.0,150423.0,3785.0,0.9754552293006847
12-4-4,68,154208.0,152767.0,1441.0,0.9906554783150031
12-4-4,69,154208.0,150706.0,3502.0,0.9772904129487445
12-4-4,7,154208.0,150379.0,3829.0,0.9751699003942726
12-4-4,70,154208.0,152357.0,1851.0,0.987996731687072
12-4-4,71,154208.0,148530.0,5678.0,0.9631796015770907
12-4-4,72,154208.0,147931.0,6277.0,0.9592952376011621
12-4-4,73,154208.0,150380.0,3828.0,0.9751763851421457
12-4-4,74,154208.0,148361.0,5847.0,0.9620836791865532
12-4-4,75,154208.0,146862.0,7346.0,0.9523630421249222
12-4-4,76,154208.0,151006.0,3202.0,0.9792358373106453
12-4-4,77,154208.0,150883.0,3325.0,0.978438213322266
12-4-4,78,154208.0,150791.0,3417.0,0.9778416165179498
12-4-4,79,154208.0,150495.0,3713.0,0.975922131147541
