Folder,File,Mutants total,Mutants dead total,Mutants alive,Mutantion score
10-4-4,1,22698.0,18944.0,3754.0,0.8346109789408759
10-4-4,10,22116.0,19331.0,2785.0,0.8740730692711159
10-4-4,100,23280.0,19970.0,3310.0,0.8578178694158075
10-4-4,11,23280.0,15710.0,7570.0,0.6748281786941581
10-4-4,12,23280.0,17499.0,5781.0,0.7516752577319588
10-4-4,14,22116.0,19579.0,2537.0,0.8852866702839574
10-4-4,15,22698.0,19461.0,3237.0,0.8573883161512027
10-4-4,16,22698.0,15068.0,7630.0,0.6638470349810556
10-4-4,17,22698.0,19674.0,3024.0,0.8667724028548771
10-4-4,18,23280.0,16713.0,6567.0,0.7179123711340206
10-4-4,19,23280.0,17489.0,5791.0,0.751245704467354
10-4-4,2,23280.0,17849.0,5431.0,0.7667096219931272
10-4-4,20,22698.0,17260.0,5438.0,0.7604194202132346
10-4-4,21,22116.0,17471.0,4645.0,0.7899710616748056
10-4-4,22,23280.0,19592.0,3688.0,0.8415807560137457
10-4-4,23,23280.0,18768.0,4512.0,0.8061855670103093
10-4-4,24,22698.0,18382.0,4316.0,0.8098510882016037
10-4-4,25,22698.0,19060.0,3638.0,0.8397215613710459
10-4-4,26,22698.0,19079.0,3619.0,0.8405586395277117
10-4-4,27,23280.0,20179.0,3101.0,0.8667955326460481
10-4-4,28,22116.0,18540.0,3576.0,0.8383071079761258
10-4-4,29,23280.0,19879.0,3401.0,0.8539089347079037
10-4-4,3,23280.0,15517.0,7763.0,0.6665378006872852
10-4-4,30,22698.0,18083.0,4615.0,0.7966781214203894
10-4-4,31,23280.0,18541.0,4739.0,0.79643470790378
10-4-4,32,22116.0,18105.0,4011.0,0.8186380900705371
10-4-4,33,22698.0,20141.0,2557.0,0.8873469028108203
10-4-4,34,23280.0,19600.0,3680.0,0.8419243986254296
10-4-4,35,22116.0,18826.0,3290.0,0.8512389220473865
10-4-4,36,22698.0,16627.0,6071.0,0.7325315005727376
10-4-4,37,23280.0,20331.0,2949.0,0.8733247422680412
10-4-4,38,22698.0,16280.0,6418.0,0.7172438100273152
10-4-4,39,23280.0,19265.0,4015.0,0.8275343642611683
10-4-4,4,22116.0,17462.0,4654.0,0.789564116476759
10-4-4,40,23280.0,18744.0,4536.0,0.8051546391752578
10-4-4,41,22698.0,17866.0,4832.0,0.7871178077363644
