Folder,File,Mutants total,Mutants dead total,Mutants alive,Mutantion score
10-4-4,1,154208.0,148010.0,6198.0,0.9598075326831292
10-4-4,10,154208.0,150286.0,3922.0,0.9745668188420834
10-4-4,100,154208.0,144304.0,9904.0,0.9357750570657812
10-4-4,11,154208.0,146255.0,7953.0,0.9484268001660096
10-4-4,12,154208.0,146404.0,7804.0,0.949393027599087
10-4-4,14,154208.0,151731.0,2477.0,0.9839372795185723
10-4-4,15,154208.0,150046.0,4162.0,0.9730104793525628
10-4-4,16,154208.0,148329.0,5879.0,0.9618761672546171
10-4-4,17,154208.0,147774.0,6434.0,0.9582771321851007
10-4-4,18,154208.0,147919.0,6289.0,0.959217420626686
10-4-4,19,154208.0,149709.0,4499.0,0.9708251193193609
10-4-4,2,154208.0,145461.0,8747.0,0.9432779103548454
10-4-4,20,154208.0,146402.0,7806.0,0.9493800581033409
10-4-4,21,154208.0,150388.0,3820.0,0.9752282631251297
10-4-4,22,154208.0,150227.0,3981.0,0.9741842187175762
10-4-4,23,154208.0,144738.0,9470.0,0.9385894376426644
10-4-4,24,154208.0,150343.0,3865.0,0.9749364494708446
10-4-4,25,154208.0,149717.0,4491.0,0.9708769973023449
10-4-4,26,154208.0,148148.0,6060.0,0.9607024278896037
10-4-4,27,154208.0,148414.0,5794.0,0.9624273708238223
10-4-4,28,154208.0,145845.0,8363.0,0.9457680535380785
10-4-4,29,154208.0,150002.0,4206.0,0.9727251504461506
10-4-4,3,154208.0,142458.0,11750.0,0.9238042124922183
10-4-4,30,154208.0,146023.0,8185.0,0.946922338659473
10-4-4,31,154208.0,150564.0,3644.0,0.9763695787507781
10-4-4,32,154208.0,151988.0,2220.0,0.985603859721934
10-4-4,33,154208.0,150416.0,3792.0,0.9754098360655737
10-4-4,34,154208.0,141916.0,12292.0,0.9202894791450509
10-4-4,35,154208.0,150163.0,4045.0,0.9737691948537041
10-4-4,36,154208.0,147932.0,6276.0,0.9593017223490351
10-4-4,37,154208.0,147971.0,6237.0,0.9595546275160822
10-4-4,38,154208.0,148098.0,6110.0,0.9603781904959535
10-4-4,39,154208.0,151536.0,2672.0,0.9826727536833368
10-4-4,4,154208.0,150690.0,3518.0,0.9771866569827765
10-4-4,40,154208.0,149991.0,4217.0,0.9726538182195477
10-4-4,41,154208.0,152136.0,2072.0,0.9865636024071384
10-4-4,42,154208.0,148088.0,6120.0,0.9603133430172235
10-4-4,43,154208.0,143966.0,10242.0,0.9335832122847064
10-4-4,44,154208.0,150007.0,4201.0,0.9727575741855157
10-4-4,45,154208.0,149140.0,5068.0,0.9671352977796224
10-4-4,46,154208.0,152277.0,1931.0,0.9874779518572318
10-4-4,47,154208.0,147106.0,7102.0,0.9539453206059348
10-4-4,48,154208.0,146550.0,7658.0,0.9503398007885453
10-4-4,49,154208.0,145977.0,8231.0,0.9466240402573148
10-4-4,5,154208.0,147947.0,6261.0,0.9593989935671301
10-4-4,50,154208.0,146705.0,7503.0,0.9513449367088608
10-4-4,51,154208.0,143808.0,10400.0,0.9325586221207719
10-4-4,52,154208.0,147697.0,6511.0,0.9577778065988795
10-4-4,53,154208.0,144143.0,10065.0,0.9347310126582279
10-4-4,54,154208.0,150146.0,4062.0,0.973658954139863
10-4-4,55,154208.0,151758.0,2450.0,0.9841123677111434
10-4-4,56,154208.0,151886.0,2322.0,0.9849424154388877
10-4-4,57,154208.0,148065.0,6143.0,0.9601641938161444
10-4-4,58,154208.0,151784.0,2424.0,0.9842809711558415
10-4-4,59,154208.0,150423.0,3785.0,0.9754552293006847
10-4-4,6,154208.0,151514.0,2694.0,0.9825300892301307
10-4-4,60,154208.0,146159.0,8049.0,0.9478042643702013
10-4-4,61,154208.0,149539.0,4669.0,0.9697227121809504
10-4-4,62,154208.0,145940.0,8268.0,0.9463841045860137
10-4-4,63,154208.0,142293.0,11915.0,0.9227342290931728
10-4-4,64,154208.0,151980.0,2228.0,0.98555198173895
10-4-4,65,154208.0,151156.0,3052.0,0.9802085494915957
10-4-4,66,154208.0,150072.0,4136.0,0.9731790827972608
10-4-4,67,154208.0,149840.0,4368.0,0.9716746212907242
10-4-4,68,154208.0,149803.0,4405.0,0.9714346856194231
10-4-4,69,154208.0,149921.0,4287.0,0.9721998858684374
