Folder,File,Mutants total,Mutants dead total,Mutants alive,Mutantion score
apex,1,71992.0,63346.0,8646.0,0.879903322591399
swpdc,1,34.0,34.0,0.0,1.0
swpdc,10,1900.0,1892.0,8.0,0.9957894736842106
swpdc,11,951.0,951.0,0.0,1.0
swpdc,12,1900.0,1892.0,8.0,0.9957894736842106
swpdc,13,1900.0,1892.0,8.0,0.9957894736842106
swpdc,14,1900.0,1892.0,8.0,0.9957894736842106
swpdc,15,1900.0,1892.0,8.0,0.9957894736842106
swpdc,16,951.0,951.0,0.0,1.0
swpdc,17,1900.0,1892.0,8.0,0.9957894736842106
swpdc,18,1900.0,1892.0,8.0,0.9957894736842106
swpdc,19,1900.0,1892.0,8.0,0.9957894736842106
swpdc,2,153.0,153.0,0.0,1.0
swpdc,20,1900.0,1892.0,8.0,0.9957894736842106
swpdc,3,695.0,695.0,0.0,1.0
swpdc,4,566.0,566.0,0.0,1.0
swpdc,5,2020.0,2020.0,0.0,1.0
swpdc,6,1879.0,1879.0,0.0,1.0
swpdc,7,1270.0,1270.0,0.0,1.0
swpdc,8,2428.0,2420.0,8.0,0.9967051070840197
swpdc,9,390.0,390.0,0.0,1.0
