Folder,File,Mutants total,Mutants dead total,Mutants alive,Mutantion score
apex,1,71992.0,32595.0,39397.0,0.4527586398488721
swpdc,1,34.0,28.0,6.0,0.8235294117647058
swpdc,10,1900.0,1706.0,194.0,0.8978947368421053
swpdc,11,951.0,918.0,33.0,0.9652996845425867
swpdc,12,1900.0,1706.0,194.0,0.8978947368421053
swpdc,13,1900.0,1706.0,194.0,0.8978947368421053
swpdc,14,1900.0,1706.0,194.0,0.8978947368421053
swpdc,15,1900.0,1706.0,194.0,0.8978947368421053
swpdc,16,951.0,918.0,33.0,0.9652996845425867
swpdc,17,1900.0,1706.0,194.0,0.8978947368421053
swpdc,18,1900.0,1706.0,194.0,0.8978947368421053
swpdc,19,1900.0,1706.0,194.0,0.8978947368421053
swpdc,2,153.0,137.0,16.0,0.8954248366013072
swpdc,20,1900.0,1706.0,194.0,0.8978947368421053
swpdc,3,695.0,660.0,35.0,0.9496402877697842
swpdc,4,566.0,537.0,29.0,0.9487632508833922
swpdc,5,2020.0,1952.0,68.0,0.9663366336633663
swpdc,6,1879.0,1815.0,64.0,0.9659393294305482
swpdc,7,1270.0,1229.0,41.0,0.9677165354330709
swpdc,8,2428.0,2204.0,224.0,0.9077429983525536
swpdc,9,390.0,368.0,22.0,0.9435897435897436
