Folder,File,Mutants total,Mutants dead total,Mutants alive,Mutantion score
apex,1,71992.0,68315.0,3677.0,0.9489248805422825
swpdc,1,34.0,28.0,6.0,0.8235294117647058
swpdc,10,1900.0,1828.0,72.0,0.9621052631578947
swpdc,11,951.0,918.0,33.0,0.9652996845425867
swpdc,12,1900.0,1828.0,72.0,0.9621052631578947
swpdc,13,1900.0,1828.0,72.0,0.9621052631578947
swpdc,14,1900.0,1828.0,72.0,0.9621052631578947
swpdc,15,1900.0,1828.0,72.0,0.9621052631578947
swpdc,16,951.0,918.0,33.0,0.9652996845425867
swpdc,17,1900.0,1828.0,72.0,0.9621052631578947
swpdc,18,1900.0,1828.0,72.0,0.9621052631578947
swpdc,19,1900.0,1828.0,72.0,0.9621052631578947
swpdc,2,153.0,137.0,16.0,0.8954248366013072
swpdc,20,1900.0,1828.0,72.0,0.9621052631578947
swpdc,3,695.0,660.0,35.0,0.9496402877697842
swpdc,4,566.0,537.0,29.0,0.9487632508833922
swpdc,5,2020.0,1952.0,68.0,0.9663366336633663
swpdc,6,1879.0,1815.0,64.0,0.9659393294305482
swpdc,7,1270.0,1229.0,41.0,0.9677165354330709
swpdc,8,2428.0,2338.0,90.0,0.9629324546952224
swpdc,9,390.0,368.0,22.0,0.9435897435897436
