Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
10-4-4,1,10,228,218,11.0,30.0,21.8,8.080154013933699,65.28888888888888
10-4-4,10,10,178,168,6.0,25.0,16.8,6.795423296438403,46.17777777777778
10-4-4,100,7,216,209,28.0,32.0,29.857142857142858,1.2149857925879117,1.4761904761904763
10-4-4,11,7,202,195,25.0,32.0,27.857142857142858,2.193062655175134,4.809523809523809
10-4-4,12,9,251,242,19.0,33.0,26.88888888888889,5.555277770832986,30.861111111111114
10-4-4,14,8,223,215,24.0,30.0,26.875,2.4748737341529163,6.125
10-4-4,15,10,249,239,18.0,26.0,23.9,2.3781411975649287,5.655555555555553
10-4-4,16,8,205,197,23.0,27.0,24.625,1.7677669529663689,3.125
10-4-4,17,7,213,206,27.0,32.0,29.428571428571427,1.7182493859684491,2.9523809523809526
10-4-4,18,10,248,238,17.0,28.0,23.8,4.077035960378841,16.62222222222222
10-4-4,19,10,222,212,14.0,26.0,21.2,5.391351098441527,29.066666666666663
10-4-4,2,8,221,213,15.0,33.0,26.625,5.423164600647327,29.410714285714285
10-4-4,20,7,201,194,26.0,29.0,27.714285714285715,1.1126972805283735,1.238095238095238
10-4-4,21,14,219,205,6.0,23.0,14.642857142857144,7.438022305974608,55.32417582417582
10-4-4,22,10,256,246,13.0,31.0,24.6,6.518350166176169,42.48888888888889
10-4-4,23,12,226,214,10.0,24.0,17.833333333333332,5.149286505444372,26.515151515151512
10-4-4,24,10,232,222,12.0,30.0,22.2,6.679986693266853,44.62222222222223
10-4-4,25,9,211,202,14.0,29.0,22.444444444444443,6.105553028004734,37.27777777777778
10-4-4,26,6,114,108,5.0,35.0,18.0,14.422205101855956,208.0
10-4-4,27,7,184,177,22.0,28.0,25.285714285714285,2.138089935299395,4.571428571428571
10-4-4,28,12,250,238,15.0,29.0,19.833333333333332,5.7181264149168385,32.696969696969695
10-4-4,29,12,254,242,12.0,24.0,20.166666666666668,3.3799766898963113,11.424242424242424
10-4-4,3,10,240,230,19.0,27.0,23.0,3.1269438398822866,9.777777777777779
10-4-4,30,11,214,203,7.0,25.0,18.454545454545453,6.53243654946049,42.67272727272727
10-4-4,31,16,260,244,7.0,21.0,15.25,4.864839839775475,23.666666666666668
10-4-4,32,12,204,192,9.0,23.0,16.0,6.2667956144051224,39.27272727272727
10-4-4,33,10,238,228,20.0,26.0,22.8,2.1499353995462798,4.622222222222222
10-4-4,34,8,229,221,23.0,31.0,27.625,3.113908889391045,9.696428571428571
10-4-4,35,14,245,231,4.0,21.0,16.5,6.903176526342503,47.65384615384615
10-4-4,36,11,248,237,18.0,25.0,21.545454545454547,3.0777796010642593,9.47272727272727
10-4-4,37,6,159,153,7.0,35.0,25.5,10.27131929208707,105.5
10-4-4,38,12,196,184,8.0,19.0,15.333333333333334,3.749747466244368,14.06060606060606
10-4-4,39,11,244,233,10.0,28.0,21.181818181818183,6.384640660494243,40.763636363636365
10-4-4,4,12,217,205,5.0,24.0,17.083333333333332,6.639528095680697,44.08333333333334
10-4-4,40,7,195,188,22.0,33.0,26.857142857142858,4.099941927579439,16.80952380952381
