Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
10-4-4,1,484,2991,2507,2.0,7.0,5.179752066115702,1.012715810651101,1.0255933131427166
10-4-4,10,484,3129,2645,3.0,8.0,5.464876033057854,1.38342966006658,1.9138776243519335
10-4-4,100,484,3045,2561,3.0,8.0,5.291322314049586,1.132910242899173,1.2834856184658634
10-4-4,11,484,3168,2684,3.0,9.0,5.545454545454545,1.5214137481174088,2.3146997929606625
10-4-4,12,484,3036,2552,3.0,8.0,5.2727272727272725,1.1986880336728134,1.4368530020703958
10-4-4,14,484,2934,2450,2.0,7.0,5.06198347107438,0.9458862614511334,0.8947008196020019
10-4-4,15,484,2952,2468,2.0,8.0,5.099173553719008,1.0779549588049546,1.1619868932121915
10-4-4,16,484,2901,2417,3.0,7.0,4.993801652892563,0.8997140159369803,0.8094853104734488
10-4-4,17,484,3048,2564,3.0,8.0,5.297520661157026,1.2454114744826592,1.5510497407730715
10-4-4,18,484,3003,2519,3.0,8.0,5.204545454545455,1.158951121429783,1.3431677018633517
10-4-4,19,484,3072,2588,3.0,8.0,5.347107438016529,1.2995348350871605,1.6887907876050134
10-4-4,2,484,3009,2525,3.0,8.0,5.21694214876033,1.291973208303267,1.6691947709734365
10-4-4,20,484,3222,2738,3.0,9.0,5.657024793388429,1.5383746334497235,2.3665965128415714
10-4-4,21,484,3213,2729,3.0,9.0,5.638429752066115,1.6302810072980927,2.657816162756884
10-4-4,22,484,2883,2399,3.0,7.0,4.956611570247933,0.8634382171377938,0.745525554814092
10-4-4,23,484,3006,2522,3.0,8.0,5.2107438016528915,1.118732027956467,1.2515613503755894
10-4-4,24,484,3093,2609,3.0,7.0,5.390495867768595,1.1962642688014407,1.4310482008110457
10-4-4,25,484,3276,2792,3.0,9.0,5.768595041322314,1.703778922946766,2.902862618277642
10-4-4,26,484,3372,2888,3.0,11.0,5.966942148760331,1.9893458845575696,3.9574970484061387
10-4-4,27,484,2967,2483,3.0,7.0,5.130165289256199,1.0100935597943468,1.0202889995380158
10-4-4,28,484,3156,2672,2.0,8.0,5.5206611570247945,1.314667524769178,1.728350700682717
10-4-4,29,484,3213,2729,3.0,9.0,5.638429752066115,1.5034296241615588,2.260300634806566
10-4-4,3,484,3252,2768,3.0,9.0,5.71900826446281,1.5158138962443555,2.2976917680474935
10-4-4,30,484,3042,2558,2.0,7.0,5.285123966942147,1.1354014371682717,1.2891364235237766
10-4-4,31,484,3096,2612,2.0,8.0,5.396694214876031,1.3028355051605094,1.6973803535068397
10-4-4,32,484,3096,2612,3.0,8.0,5.396694214876031,1.3028355051605076,1.697380353506835
10-4-4,33,484,3039,2555,2.0,7.0,5.278925619834712,1.0933121002227146,1.1953313484934034
10-4-4,34,484,3426,2942,3.0,10.0,6.078512396694217,1.8953012231711552,3.5921667265540775
10-4-4,35,484,3033,2549,3.0,8.0,5.266528925619832,1.2163633887829393,1.4795398935715158
10-4-4,36,484,2982,2498,3.0,7.0,5.161157024793388,1.0548416933675355,1.1126909980664896
10-4-4,37,484,2904,2420,2.0,8.0,5.0,1.003100782635635,1.0062111801242235
10-4-4,38,484,3324,2840,3.0,9.0,5.86776859504132,1.6678280777902537,2.7816504970655322
10-4-4,39,484,2943,2459,3.0,8.0,5.080578512396694,1.0766267368354772,1.1591251304690078
10-4-4,4,484,2973,2489,3.0,7.0,5.142561983471073,1.0545800957465095,1.112139178344717
10-4-4,40,484,3090,2606,3.0,8.0,5.384297520661157,1.4175187994904876,2.0093595469089536
10-4-4,41,484,3075,2591,3.0,8.0,5.3533057851239665,1.3018419112121122,1.6947923617884053
10-4-4,42,484,3000,2516,3.0,7.0,5.198347107438016,1.0245017752783796,1.0496038875485514
10-4-4,43,484,3021,2537,3.0,8.0,5.241735537190084,1.194116825983462,1.4259149940968179
10-4-4,44,484,3066,2582,3.0,9.0,5.334710743801653,1.486848390260191,2.210718135619321
10-4-4,45,484,3093,2609,3.0,9.0,5.390495867768596,1.4062830624531917,1.9776320517427277
10-4-4,46,484,3291,2807,3.0,10.0,5.799586776859505,1.7083159878059204,2.9183435141933174
10-4-4,47,484,2970,2486,3.0,8.0,5.136363636363636,1.1136272408081522,1.240165631469978
10-4-4,48,484,2832,2348,3.0,6.0,4.851239669421487,0.789802051094934,0.6237872799137647
10-4-4,49,484,2886,2402,2.0,7.0,4.962809917355372,0.8552971932875386,0.7315332888455413
10-4-4,5,484,3060,2576,2.0,7.0,5.322314049586777,1.1030909032895728,1.2168095409202058
10-4-4,50,484,2949,2465,3.0,7.0,5.0929752066115705,1.0080587453946444,1.0161824341666243
10-4-4,51,484,3231,2747,3.0,10.0,5.675619834710743,1.6151920538137474,2.608845370703072
10-4-4,52,484,3186,2702,3.0,8.0,5.582644628099173,1.5720739785220792,2.4714165939462385
10-4-4,53,484,3060,2576,3.0,8.0,5.322314049586777,1.179289016483437,1.3907225843984723
10-4-4,54,484,3201,2717,3.0,10.0,5.613636363636362,1.71266745565641,2.933229813664602
10-4-4,55,484,3003,2519,3.0,7.0,5.204545454545455,1.0639490484227845,1.1319875776397486
10-4-4,56,484,2913,2429,3.0,7.0,5.018595041322314,0.9682673738717777,0.937541707304549
10-4-4,57,484,3009,2525,2.0,7.0,5.21694214876033,1.0998033650525378,1.209567441780886
10-4-4,58,484,2931,2447,3.0,7.0,5.055785123966942,0.9795991507630892,0.9596144961757657
10-4-4,59,484,2877,2393,3.0,7.0,4.944214876033058,0.8722710199247761,0.7608567322006091
