Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
10-4-4,1,234,15542,15308,12.0,94.0,65.41880341880342,22.622006573128424,511.75518139466567
10-4-4,10,213,13500,13287,5.0,102.0,62.380281690140855,34.50144905236199,1190.3499867127302
10-4-4,100,165,15098,14933,44.0,104.0,90.5030303030303,13.588743657009127,184.65395417590577
10-4-4,11,150,14757,14607,44.0,117.0,97.38,14.966929988764916,224.00899328859057
10-4-4,12,190,14812,14622,5.0,105.0,76.9578947368421,26.927068181207957,725.0670008354219
10-4-4,14,196,16983,16787,32.0,96.0,85.64795918367346,11.245673625927868,126.46517530088965
10-4-4,15,237,17784,17547,32.0,86.0,74.03797468354432,12.627092581713056,159.44346706715288
10-4-4,16,162,13344,13182,21.0,109.0,81.37037037037037,24.718009349407104,610.9799861973771
10-4-4,17,124,13104,12980,46.0,119.0,104.6774193548387,13.492273240212915,182.04143718856554
10-4-4,18,170,14954,14784,13.0,112.0,86.96470588235294,22.553786891948345,508.67330316742095
10-4-4,19,191,15301,15110,27.0,103.0,79.10994764397905,18.308854788911706,335.21416368145515
10-4-4,2,151,14337,14186,28.0,119.0,93.94701986754967,21.615669649421832,467.2371743929361
10-4-4,20,183,14066,13883,27.0,104.0,75.86338797814206,25.052646182913062,627.6350807662284
10-4-4,21,250,15189,14939,4.0,88.0,59.756000000000014,25.816631419132218,666.4984578313248
10-4-4,22,195,16294,16099,35.0,99.0,82.55897435897435,13.849722129571752,191.8148030663495
10-4-4,23,244,16392,16148,23.0,94.0,66.18032786885246,18.255171833140658,333.251298657492
10-4-4,24,214,15144,14930,4.0,96.0,69.7663551401869,21.62379120961538,467.58834627703936
10-4-4,25,215,13483,13268,3.0,95.0,61.71162790697675,24.266445520072704,588.8603781786567
10-4-4,26,145,11051,10906,5.0,119.0,75.21379310344828,35.68247044863917,1273.238697318008
10-4-4,27,197,16911,16714,40.0,97.0,84.84263959390861,10.395279989409634,108.06184605822037
10-4-4,28,213,12487,12274,19.0,99.0,57.62441314553991,27.28465885317548,744.452608734167
10-4-4,29,263,17763,17500,15.0,83.0,66.53992395437263,17.06110826591787,291.08141526137103
10-4-4,3,176,15697,15521,26.0,110.0,88.1875,22.235211779003656,494.40464285714285
10-4-4,30,188,14890,14702,7.0,105.0,78.20212765957449,31.079019450335167,965.9054499943115
10-4-4,31,261,15741,15480,5.0,79.0,59.3103448275862,13.543925983055386,183.43793103448283
10-4-4,32,270,14524,14254,11.0,77.0,52.792592592592584,15.51523836446817,240.72262150626494
10-4-4,33,187,16053,15866,19.0,101.0,84.84491978609626,18.971186793496766,359.90592835374616
10-4-4,34,175,15247,15072,34.0,100.0,86.12571428571428,16.110829206902743,259.55881773399045
10-4-4,35,271,13870,13599,4.0,75.0,50.180811808118094,17.287347141489892,298.85237119037873
10-4-4,36,215,16955,16740,20.0,100.0,77.86046511627907,19.316088635033946,373.11128015648757
10-4-4,37,166,13456,13290,6.0,115.0,80.0602409638554,34.209815850829216,1170.3115005476457
10-4-4,38,288,14575,14287,22.0,64.0,49.607638888888886,10.031077700888861,100.62251984126975
10-4-4,39,181,15516,15335,10.0,109.0,84.72375690607734,23.550676782597023,554.6343769183545
10-4-4,4,260,15569,15309,5.0,82.0,58.88076923076922,20.32319023140957,413.0320611820613
10-4-4,40,125,11296,11171,27.0,127.0,89.368,25.975961592309933,674.7505806451608
10-4-4,41,230,16771,16541,13.0,96.0,71.91739130434783,21.131262714455744,446.5302639073476
10-4-4,42,191,16565,16374,12.0,107.0,85.72774869109948,20.89042124136741,436.4096996417747
10-4-4,43,125,13320,13195,35.0,127.0,105.56,19.519799708121013,381.02258064516116
10-4-4,44,220,14812,14592,7.0,97.0,66.32727272727271,27.34311299293587,747.6458281444584
10-4-4,45,204,16237,16033,19.0,102.0,78.59313725490196,18.914798646645366,357.7696078431374
10-4-4,46,208,15467,15259,38.0,101.0,73.36057692307693,21.841983763798005,477.0722547380157
10-4-4,47,243,16269,16026,9.0,96.0,65.95061728395062,23.83772683566464,568.2372206917662
10-4-4,48,143,14131,13988,37.0,122.0,97.81818181818181,22.500590403407656,506.2765685019207
