Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
10-4-4,1,1,53,52,52.0,52.0,52.0,0.0,0.0
10-4-4,10,1,66,65,65.0,65.0,65.0,0.0,0.0
10-4-4,100,1,446,445,445.0,445.0,445.0,0.0,0.0
10-4-4,11,1,249,248,248.0,248.0,248.0,0.0,0.0
10-4-4,12,1,344,343,343.0,343.0,343.0,0.0,0.0
10-4-4,14,1,257,256,256.0,256.0,256.0,0.0,0.0
10-4-4,15,1,257,256,256.0,256.0,256.0,0.0,0.0
10-4-4,16,1,447,446,446.0,446.0,446.0,0.0,0.0
10-4-4,17,1,62,61,61.0,61.0,61.0,0.0,0.0
10-4-4,18,1,349,348,348.0,348.0,348.0,0.0,0.0
10-4-4,19,1,253,252,252.0,252.0,252.0,0.0,0.0
10-4-4,2,1,247,246,246.0,246.0,246.0,0.0,0.0
10-4-4,20,1,345,344,344.0,344.0,344.0,0.0,0.0
10-4-4,21,1,650,649,649.0,649.0,649.0,0.0,0.0
10-4-4,22,1,68,67,67.0,67.0,67.0,0.0,0.0
10-4-4,23,1,65,64,64.0,64.0,64.0,0.0,0.0
10-4-4,24,1,355,354,354.0,354.0,354.0,0.0,0.0
10-4-4,25,1,641,640,640.0,640.0,640.0,0.0,0.0
10-4-4,26,1,52,51,51.0,51.0,51.0,0.0,0.0
10-4-4,27,1,346,345,345.0,345.0,345.0,0.0,0.0
10-4-4,28,1,447,446,446.0,446.0,446.0,0.0,0.0
10-4-4,29,1,358,357,357.0,357.0,357.0,0.0,0.0
10-4-4,3,1,250,249,249.0,249.0,249.0,0.0,0.0
10-4-4,30,1,52,51,51.0,51.0,51.0,0.0,0.0
10-4-4,31,1,449,448,448.0,448.0,448.0,0.0,0.0
10-4-4,32,1,640,639,639.0,639.0,639.0,0.0,0.0
10-4-4,33,1,550,549,549.0,549.0,549.0,0.0,0.0
10-4-4,34,1,542,541,541.0,541.0,541.0,0.0,0.0
10-4-4,35,1,459,458,458.0,458.0,458.0,0.0,0.0
10-4-4,36,1,547,546,546.0,546.0,546.0,0.0,0.0
10-4-4,37,1,244,243,243.0,243.0,243.0,0.0,0.0
10-4-4,38,1,546,545,545.0,545.0,545.0,0.0,0.0
10-4-4,39,1,64,63,63.0,63.0,63.0,0.0,0.0
10-4-4,4,1,363,362,362.0,362.0,362.0,0.0,0.0
10-4-4,40,1,250,249,249.0,249.0,249.0,0.0,0.0
10-4-4,41,1,255,254,254.0,254.0,254.0,0.0,0.0
10-4-4,42,1,253,252,252.0,252.0,252.0,0.0,0.0
