Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
10-4-4,1,4,2560,2556,639.0,639.0,639.0,0.0,0.0
10-4-4,10,4,3424,3420,855.0,855.0,855.0,0.0,0.0
10-4-4,100,4,2540,2536,634.0,634.0,634.0,0.0,0.0
10-4-4,11,4,3584,3580,895.0,895.0,895.0,0.0,0.0
10-4-4,12,4,2200,2196,549.0,549.0,549.0,0.0,0.0
10-4-4,14,4,2228,2224,556.0,556.0,556.0,0.0,0.0
10-4-4,15,4,4044,4040,1010.0,1010.0,1010.0,0.0,0.0
10-4-4,16,4,2544,2540,635.0,635.0,635.0,0.0,0.0
10-4-4,17,4,2056,2052,513.0,513.0,513.0,0.0,0.0
10-4-4,18,4,2164,2160,540.0,540.0,540.0,0.0,0.0
10-4-4,19,4,2152,2148,537.0,537.0,537.0,0.0,0.0
10-4-4,2,4,2888,2884,721.0,721.0,721.0,0.0,0.0
10-4-4,20,4,4008,4004,1001.0,1001.0,1001.0,0.0,0.0
10-4-4,21,4,3664,3660,915.0,915.0,915.0,0.0,0.0
10-4-4,22,4,4024,4020,1005.0,1005.0,1005.0,0.0,0.0
10-4-4,23,4,2232,2228,557.0,557.0,557.0,0.0,0.0
10-4-4,24,4,3607,3603,858.0,915.0,900.75,28.5,812.25
10-4-4,25,4,3268,3264,816.0,816.0,816.0,0.0,0.0
10-4-4,26,4,3996,3992,998.0,998.0,998.0,0.0,0.0
10-4-4,27,4,2888,2884,721.0,721.0,721.0,0.0,0.0
10-4-4,28,4,3404,3400,850.0,850.0,850.0,0.0,0.0
10-4-4,29,4,4192,4188,1047.0,1047.0,1047.0,0.0,0.0
10-4-4,3,4,2156,2152,538.0,538.0,538.0,0.0,0.0
10-4-4,30,4,1148,1144,286.0,286.0,286.0,0.0,0.0
10-4-4,31,4,3688,3684,921.0,921.0,921.0,0.0,0.0
10-4-4,32,4,3356,3352,838.0,838.0,838.0,0.0,0.0
10-4-4,33,4,3668,3664,916.0,916.0,916.0,0.0,0.0
10-4-4,34,4,3588,3584,896.0,896.0,896.0,0.0,0.0
10-4-4,35,4,3356,3352,838.0,838.0,838.0,0.0,0.0
10-4-4,36,4,1424,1420,355.0,355.0,355.0,0.0,0.0
10-4-4,37,4,2120,2116,529.0,529.0,529.0,0.0,0.0
10-4-4,38,4,3744,3740,935.0,935.0,935.0,0.0,0.0
10-4-4,39,4,1092,1088,272.0,272.0,272.0,0.0,0.0
10-4-4,4,4,2664,2660,665.0,665.0,665.0,0.0,0.0
10-4-4,40,4,3296,3292,823.0,823.0,823.0,0.0,0.0
10-4-4,41,4,4496,4492,1123.0,1123.0,1123.0,0.0,0.0
10-4-4,42,4,2536,2532,633.0,633.0,633.0,0.0,0.0
10-4-4,43,4,908,904,226.0,226.0,226.0,0.0,0.0
10-4-4,44,4,2924,2920,730.0,730.0,730.0,0.0,0.0
10-4-4,45,4,1684,1680,420.0,420.0,420.0,0.0,0.0
10-4-4,46,4,2944,2940,735.0,735.0,735.0,0.0,0.0
10-4-4,47,4,3772,3768,942.0,942.0,942.0,0.0,0.0
10-4-4,48,4,2964,2960,740.0,740.0,740.0,0.0,0.0
10-4-4,49,4,2696,2692,673.0,673.0,673.0,0.0,0.0
10-4-4,5,4,2836,2832,708.0,708.0,708.0,0.0,0.0
10-4-4,50,4,2280,2276,569.0,569.0,569.0,0.0,0.0
10-4-4,51,4,2792,2788,697.0,697.0,697.0,0.0,0.0
10-4-4,52,4,1944,1940,485.0,485.0,485.0,0.0,0.0
10-4-4,53,4,2824,2820,705.0,705.0,705.0,0.0,0.0
10-4-4,54,4,3328,3324,831.0,831.0,831.0,0.0,0.0
10-4-4,55,4,2084,2080,520.0,520.0,520.0,0.0,0.0
10-4-4,56,4,4060,4056,1014.0,1014.0,1014.0,0.0,0.0
10-4-4,57,4,3072,3068,767.0,767.0,767.0,0.0,0.0
10-4-4,58,4,2124,2120,530.0,530.0,530.0,0.0,0.0
10-4-4,59,4,2808,2804,701.0,701.0,701.0,0.0,0.0
10-4-4,6,4,2256,2252,563.0,563.0,563.0,0.0,0.0
10-4-4,60,4,2820,2816,704.0,704.0,704.0,0.0,0.0
10-4-4,61,4,3396,3392,848.0,848.0,848.0,0.0,0.0
10-4-4,62,4,2908,2904,726.0,726.0,726.0,0.0,0.0
10-4-4,63,4,2504,2500,625.0,625.0,625.0,0.0,0.0
10-4-4,64,4,2976,2972,743.0,743.0,743.0,0.0,0.0
10-4-4,65,4,2796,2792,698.0,698.0,698.0,0.0,0.0
10-4-4,66,4,4412,4408,1102.0,1102.0,1102.0,0.0,0.0
10-4-4,67,4,3280,3276,819.0,819.0,819.0,0.0,0.0
10-4-4,68,4,2184,2180,545.0,545.0,545.0,0.0,0.0
10-4-4,69,4,2464,2460,615.0,615.0,615.0,0.0,0.0
10-4-4,7,4,3296,3292,823.0,823.0,823.0,0.0,0.0
10-4-4,70,4,3204,3200,800.0,800.0,800.0,0.0,0.0
10-4-4,71,4,1748,1744,436.0,436.0,436.0,0.0,0.0
10-4-4,72,4,3240,3236,809.0,809.0,809.0,0.0,0.0
10-4-4,73,4,2460,2456,614.0,614.0,614.0,0.0,0.0
10-4-4,75,4,3582,3578,888.0,900.0,894.5,4.932882862316247,24.333333333333332
10-4-4,76,4,2724,2720,680.0,680.0,680.0,0.0,0.0
10-4-4,77,4,3720,3716,929.0,929.0,929.0,0.0,0.0
10-4-4,78,4,2656,2652,663.0,663.0,663.0,0.0,0.0
10-4-4,79,4,2468,2464,616.0,616.0,616.0,0.0,0.0
10-4-4,8,4,2496,2492,623.0,623.0,623.0,0.0,0.0
10-4-4,80,4,3652,3648,912.0,912.0,912.0,0.0,0.0
10-4-4,81,4,3384,3380,845.0,845.0,845.0,0.0,0.0
10-4-4,82,4,1116,1112,278.0,278.0,278.0,0.0,0.0
10-4-4,83,4,2088,2084,521.0,521.0,521.0,0.0,0.0
10-4-4,84,4,2056,2052,513.0,513.0,513.0,0.0,0.0
10-4-4,85,4,1172,1168,292.0,292.0,292.0,0.0,0.0
10-4-4,86,4,2944,2940,735.0,735.0,735.0,0.0,0.0
10-4-4,87,4,2828,2824,706.0,706.0,706.0,0.0,0.0
10-4-4,88,4,1708,1704,426.0,426.0,426.0,0.0,0.0
10-4-4,89,4,1120,1116,279.0,279.0,279.0,0.0,0.0
10-4-4,9,4,3708,3704,926.0,926.0,926.0,0.0,0.0
10-4-4,90,4,2056,2052,513.0,513.0,513.0,0.0,0.0
10-4-4,91,4,3616,3612,903.0,903.0,903.0,0.0,0.0
10-4-4,93,4,3764,3760,940.0,940.0,940.0,0.0,0.0
10-4-4,94,4,1136,1132,283.0,283.0,283.0,0.0,0.0
10-4-4,95,4,2056,2052,513.0,513.0,513.0,0.0,0.0
10-4-4,96,4,2856,2852,713.0,713.0,713.0,0.0,0.0
10-4-4,97,4,2608,2604,651.0,651.0,651.0,0.0,0.0
10-4-4,98,4,3308,3304,826.0,826.0,826.0,0.0,0.0
10-4-4,99,4,2536,2532,633.0,633.0,633.0,0.0,0.0
12-4-4,1,4,3260,3256,814.0,814.0,814.0,0.0,0.0
12-4-4,10,4,4564,4560,1140.0,1140.0,1140.0,0.0,0.0
12-4-4,100,4,2656,2652,663.0,663.0,663.0,0.0,0.0
12-4-4,11,4,3440,3436,859.0,859.0,859.0,0.0,0.0
12-4-4,12,4,3076,3072,768.0,768.0,768.0,0.0,0.0
12-4-4,13,4,3840,3836,959.0,959.0,959.0,0.0,0.0
12-4-4,14,4,3548,3544,886.0,886.0,886.0,0.0,0.0
12-4-4,15,4,3880,3876,969.0,969.0,969.0,0.0,0.0
12-4-4,16,4,2868,2864,716.0,716.0,716.0,0.0,0.0
12-4-4,17,4,3088,3084,771.0,771.0,771.0,0.0,0.0
12-4-4,18,4,3716,3712,928.0,928.0,928.0,0.0,0.0
12-4-4,19,4,2012,2008,502.0,502.0,502.0,0.0,0.0
12-4-4,2,4,3152,3148,787.0,787.0,787.0,0.0,0.0
12-4-4,20,4,3612,3608,902.0,902.0,902.0,0.0,0.0
12-4-4,21,4,3740,3736,934.0,934.0,934.0,0.0,0.0
12-4-4,22,4,4264,4260,1065.0,1065.0,1065.0,0.0,0.0
12-4-4,23,4,2420,2416,604.0,604.0,604.0,0.0,0.0
12-4-4,24,4,3300,3296,824.0,824.0,824.0,0.0,0.0
12-4-4,25,4,4768,4764,1191.0,1191.0,1191.0,0.0,0.0
12-4-4,26,4,2164,2160,540.0,540.0,540.0,0.0,0.0
12-4-4,27,4,2904,2900,725.0,725.0,725.0,0.0,0.0
12-4-4,28,4,3140,3136,784.0,784.0,784.0,0.0,0.0
12-4-4,29,4,4176,4172,1043.0,1043.0,1043.0,0.0,0.0
12-4-4,3,4,3892,3888,972.0,972.0,972.0,0.0,0.0
12-4-4,30,4,1856,1852,463.0,463.0,463.0,0.0,0.0
12-4-4,31,4,3760,3756,939.0,939.0,939.0,0.0,0.0
12-4-4,32,4,3036,3032,758.0,758.0,758.0,0.0,0.0
12-4-4,33,4,3532,3528,882.0,882.0,882.0,0.0,0.0
12-4-4,34,4,3212,3208,802.0,802.0,802.0,0.0,0.0
