Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
10-4-4,1,4,884,880,220.0,220.0,220.0,0.0,0.0
10-4-4,10,4,980,976,244.0,244.0,244.0,0.0,0.0
10-4-4,100,4,1028,1024,256.0,256.0,256.0,0.0,0.0
10-4-4,11,4,836,832,208.0,208.0,208.0,0.0,0.0
10-4-4,12,4,856,852,213.0,213.0,213.0,0.0,0.0
10-4-4,14,4,1076,1072,268.0,268.0,268.0,0.0,0.0
10-4-4,15,4,1024,1020,255.0,255.0,255.0,0.0,0.0
10-4-4,16,4,880,876,219.0,219.0,219.0,0.0,0.0
10-4-4,17,4,840,836,209.0,209.0,209.0,0.0,0.0
10-4-4,18,4,836,832,208.0,208.0,208.0,0.0,0.0
10-4-4,19,4,924,920,230.0,230.0,230.0,0.0,0.0
10-4-4,2,4,856,852,213.0,213.0,213.0,0.0,0.0
10-4-4,20,4,1020,1016,254.0,254.0,254.0,0.0,0.0
10-4-4,21,4,1024,1020,255.0,255.0,255.0,0.0,0.0
10-4-4,22,4,820,816,204.0,204.0,204.0,0.0,0.0
10-4-4,23,4,920,916,229.0,229.0,229.0,0.0,0.0
10-4-4,24,4,1112,1108,277.0,277.0,277.0,0.0,0.0
10-4-4,25,4,924,920,230.0,230.0,230.0,0.0,0.0
10-4-4,26,4,852,848,212.0,212.0,212.0,0.0,0.0
10-4-4,27,4,952,948,237.0,237.0,237.0,0.0,0.0
10-4-4,28,4,1120,1116,279.0,279.0,279.0,0.0,0.0
10-4-4,29,4,1044,1040,260.0,260.0,260.0,0.0,0.0
10-4-4,3,4,848,844,211.0,211.0,211.0,0.0,0.0
10-4-4,30,4,868,864,216.0,216.0,216.0,0.0,0.0
10-4-4,31,4,980,976,244.0,244.0,244.0,0.0,0.0
10-4-4,32,4,1108,1104,276.0,276.0,276.0,0.0,0.0
10-4-4,33,4,1052,1048,262.0,262.0,262.0,0.0,0.0
10-4-4,34,4,836,832,208.0,208.0,208.0,0.0,0.0
10-4-4,35,4,1080,1076,269.0,269.0,269.0,0.0,0.0
10-4-4,36,4,964,960,240.0,240.0,240.0,0.0,0.0
10-4-4,37,4,816,812,203.0,203.0,203.0,0.0,0.0
10-4-4,38,4,1124,1120,280.0,280.0,280.0,0.0,0.0
10-4-4,39,4,860,856,214.0,214.0,214.0,0.0,0.0
10-4-4,4,4,1136,1132,283.0,283.0,283.0,0.0,0.0
10-4-4,40,4,840,836,209.0,209.0,209.0,0.0,0.0
10-4-4,41,4,980,976,244.0,244.0,244.0,0.0,0.0
10-4-4,42,4,980,976,244.0,244.0,244.0,0.0,0.0
