Folder,File,Breadth All-trans,Breadth All-transpair,Depth All-trans,Depth All-transpair,Euler All-trans,Euler All-transpair,CPP All-trans,CPP All-transpair
10-4-4,1,303.0,8876.0,694.0,191.0,243.0,20488.0,81.0,115.0
10-4-4,10,327.0,8383.0,355.0,172.0,365.0,41859.0,194.0,143.0
10-4-4,100,306.0,8648.0,366.0,166.0,10770.0,24163.0,254.0,163.0
10-4-4,11,284.0,8351.0,306.0,177.0,2986.0,51483.0,253.0,406.0
10-4-4,12,233.0,8328.0,256.0,183.0,5245.0,15780.0,270.0,108.0
10-4-4,14,240.0,8645.0,280.0,196.0,3087.0,16244.0,215.0,130.0
10-4-4,15,277.0,8328.0,271.0,212.0,3235.0,59242.0,227.0,114.0
10-4-4,16,327.0,9180.0,312.0,143.0,9549.0,21344.0,299.0,82.0
10-4-4,17,252.0,8690.0,308.0,141.0,76.0,9736.0,243.0,81.0
10-4-4,18,253.0,8464.0,283.0,161.0,5168.0,16459.0,267.0,180.0
10-4-4,19,314.0,8516.0,300.0,170.0,2937.0,15425.0,265.0,105.0
10-4-4,2,344.0,8505.0,363.0,156.0,2703.0,27353.0,295.0,97.0
10-4-4,20,319.0,9065.0,302.0,157.0,5665.0,62183.0,243.0,114.0
10-4-4,21,754.0,8571.0,360.0,177.0,21776.0,49376.0,251.0,217.0
10-4-4,22,633.0,8535.0,315.0,184.0,66.0,62754.0,248.0,242.0
10-4-4,23,774.0,8432.0,299.0,263.0,101.0,17423.0,246.0,216.0
10-4-4,24,390.0,8479.0,357.0,173.0,6005.0,112861.0,247.0,205.0
10-4-4,25,421.0,8362.0,294.0,160.0,17381.0,31878.0,262.0,206.0
10-4-4,26,177.0,8459.0,260.0,131.0,65.0,65373.0,289.0,198.0
10-4-4,27,177.0,8613.0,308.0,185.0,3185222.0,33576.0,245.0,222.0
10-4-4,28,215.0,9021.0,376.0,262.0,7853.0,40915.0,158.0,220.0
10-4-4,29,232.0,8497.0,351.0,234.0,6648.0,58528.0,201.0,233.0
10-4-4,3,284.0,8449.0,284.0,259.0,3063.0,15273.0,218.0,186.0
10-4-4,30,226.0,8514.0,297.0,255.0,89.0,623.0,281.0,227.0
10-4-4,31,220.0,8464.0,298.0,277.0,10838.0,55390.0,243.0,177.0
10-4-4,32,350.0,8305.0,276.0,331.0,19152.0,40108.0,304.0,443.0
10-4-4,33,280.0,8662.0,275.0,246.0,16222.0,47955.0,250.0,172.0
10-4-4,34,254.0,8931.0,259.0,256.0,14122.0,45892.0,299.0,154.0
10-4-4,35,458.0,8452.0,242.0,325.0,10488.0,41338.0,233.0,218.0
10-4-4,36,355.0,8600.0,309.0,265.0,15378.0,1392.0,271.0,227.0
10-4-4,37,207.0,8569.0,346.0,332.0,2708.0,12221.0,247.0,268.0
10-4-4,38,707.0,8492.0,342.0,300.0,15347.0,60152.0,341.0,236.0
10-4-4,39,303.0,8336.0,322.0,319.0,57.0,537.0,248.0,224.0
10-4-4,4,690.0,8476.0,257.0,322.0,6143.0,23563.0,255.0,225.0
10-4-4,40,263.0,8469.0,291.0,282.0,2858.0,38989.0,234.0,201.0
10-4-4,41,251.0,8870.0,263.0,269.0,2991.0,72632.0,259.0,258.0
10-4-4,42,239.0,8999.0,296.0,294.0,2926.0,15819.0,214.0,235.0
10-4-4,43,375.0,8532.0,277.0,175.0,50.0,302.0,240.0,204.0
10-4-4,44,166.0,8512.0,297.0,180.0,104.0,26361.0,272.0,303.0
10-4-4,45,199.0,8815.0,279.0,251.0,2677.0,8728.0,462.0,285.0
10-4-4,46,61.0,8738.0,311.0,171.0,8805.0,29175.0,216.0,248.0
10-4-4,47,66.0,8606.0,356.0,193.0,2798.0,49191.0,251.0,283.0
10-4-4,48,64.0,9126.0,336.0,159.0,4925.0,28883.0,365.0,269.0
10-4-4,49,52.0,8671.0,304.0,187.0,8728.0,23410.0,278.0,235.0
10-4-4,5,70.0,8633.0,291.0,162.0,5787.0,31685.0,279.0,229.0
10-4-4,50,63.0,8418.0,281.0,172.0,5078.0,10709.0,275.0,242.0
10-4-4,51,120.0,8703.0,218.0,166.0,106.0,19199.0,266.0,254.0
10-4-4,52,245.0,8388.0,279.0,232.0,232.0,10500.0,290.0,236.0
10-4-4,53,255.0,8671.0,248.0,216.0,297.0,17045.0,260.0,295.0
10-4-4,54,381.0,8648.0,322.0,265.0,2902.0,32998.0,258.0,303.0
10-4-4,55,236.0,8365.0,259.0,236.0,5924.0,11476.0,301.0,370.0
10-4-4,56,173.0,8383.0,317.0,232.0,11899.0,69871.0,263.0,307.0
10-4-4,57,248.0,8607.0,392.0,279.0,20471.0,30292.0,303.0,282.0
