Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
apex,1,174,12234,12060,20.0,111.0,69.31034482758623,19.190442192839303,368.273071556707
swpdc,1,1,105,104,104.0,104.0,104.0,0.0,0.0
swpdc,10,7,1295,1288,93.0,298.0,184.0,79.17701686727027,6269.0
swpdc,11,6,1239,1233,93.0,253.0,205.5,72.46999379053375,5251.9
swpdc,12,7,1283,1276,93.0,303.0,182.28571428571428,74.9882530483148,5623.238095238095
swpdc,13,7,1280,1273,93.0,302.0,181.85714285714286,74.50822901180909,5551.476190476191
swpdc,14,7,1277,1270,93.0,301.0,181.42857142857142,74.02895186537302,5480.285714285715
swpdc,15,7,1277,1270,93.0,301.0,181.42857142857142,74.02895186537302,5480.285714285715
swpdc,16,6,1239,1233,93.0,253.0,205.5,72.46999379053375,5251.9
swpdc,17,7,1283,1276,93.0,303.0,182.28571428571428,74.9882530483148,5623.2380952380945
swpdc,18,7,1283,1276,93.0,303.0,182.28571428571428,74.9882530483148,5623.238095238095
swpdc,19,7,1283,1276,93.0,303.0,182.28571428571428,74.9882530483148,5623.238095238095
swpdc,2,2,260,258,124.0,134.0,129.0,7.0710678118654755,50.0
swpdc,20,7,1283,1276,93.0,303.0,182.28571428571428,74.9882530483148,5623.238095238095
swpdc,3,4,600,596,106.0,235.0,149.0,58.463663928973865,3418.0
swpdc,4,5,647,642,80.0,152.0,128.4,30.51720826025867,931.3
swpdc,5,8,811,803,80.0,144.0,100.375,24.248343095088845,587.9821428571429
swpdc,6,11,1025,1014,73.0,143.0,92.18181818181819,23.92830199499405,572.5636363636363
swpdc,7,6,985,979,81.0,317.0,163.16666666666666,93.56584134536848,8754.566666666668
swpdc,8,9,1240,1231,61.0,275.0,136.77777777777777,65.63493311068767,4307.944444444444
swpdc,9,3,495,492,93.0,265.0,164.0,89.83874442577657,8071.0
