Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
apex,1,1,3163,3162,3162.0,3162.0,3162.0,0.0,0.0
swpdc,1,1,83,82,82.0,82.0,82.0,0.0,0.0
swpdc,10,1,505,504,504.0,504.0,504.0,0.0,0.0
swpdc,11,1,526,525,525.0,525.0,525.0,0.0,0.0
swpdc,12,1,499,498,498.0,498.0,498.0,0.0,0.0
swpdc,13,1,499,498,498.0,498.0,498.0,0.0,0.0
swpdc,14,1,499,498,498.0,498.0,498.0,0.0,0.0
swpdc,15,1,499,498,498.0,498.0,498.0,0.0,0.0
swpdc,16,1,526,525,525.0,525.0,525.0,0.0,0.0
swpdc,17,1,499,498,498.0,498.0,498.0,0.0,0.0
swpdc,18,1,499,498,498.0,498.0,498.0,0.0,0.0
swpdc,19,1,499,498,498.0,498.0,498.0,0.0,0.0
swpdc,2,1,215,214,214.0,214.0,214.0,0.0,0.0
swpdc,20,1,499,498,498.0,498.0,498.0,0.0,0.0
swpdc,3,1,538,537,537.0,537.0,537.0,0.0,0.0
swpdc,4,1,492,491,491.0,491.0,491.0,0.0,0.0
swpdc,5,1,760,759,759.0,759.0,759.0,0.0,0.0
swpdc,6,1,707,706,706.0,706.0,706.0,0.0,0.0
swpdc,7,1,549,548,548.0,548.0,548.0,0.0,0.0
swpdc,8,1,563,562,562.0,562.0,562.0,0.0,0.0
swpdc,9,1,322,321,321.0,321.0,321.0,0.0,0.0
