Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
apex,1,22,1800,1778,16.0,113.0,80.81818181818181,26.941977096533392,725.8701298701299
swpdc,1,1,93,92,92.0,92.0,92.0,0.0,0.0
swpdc,10,2,783,781,315.0,466.0,390.5,106.77312395916867,11400.5
swpdc,11,1,536,535,535.0,535.0,535.0,0.0,0.0
swpdc,12,2,774,772,312.0,460.0,386.0,104.65180361560904,10952.0
swpdc,13,2,774,772,312.0,460.0,386.0,104.65180361560904,10952.0
swpdc,14,2,774,772,312.0,460.0,386.0,104.65180361560904,10952.0
swpdc,15,2,774,772,312.0,460.0,386.0,104.65180361560904,10952.0
swpdc,16,1,536,535,535.0,535.0,535.0,0.0,0.0
swpdc,17,2,774,772,312.0,460.0,386.0,104.65180361560904,10952.0
swpdc,18,2,774,772,312.0,460.0,386.0,104.65180361560904,10952.0
swpdc,19,2,774,772,312.0,460.0,386.0,104.65180361560904,10952.0
swpdc,2,1,225,224,224.0,224.0,224.0,0.0,0.0
swpdc,20,2,774,772,312.0,460.0,386.0,104.65180361560904,10952.0
swpdc,3,1,553,552,552.0,552.0,552.0,0.0,0.0
swpdc,4,1,507,506,506.0,506.0,506.0,0.0,0.0
swpdc,5,1,770,769,769.0,769.0,769.0,0.0,0.0
swpdc,6,1,717,716,716.0,716.0,716.0,0.0,0.0
swpdc,7,1,559,558,558.0,558.0,558.0,0.0,0.0
swpdc,8,2,856,854,331.0,523.0,427.0,135.7645019878171,18432.0
swpdc,9,1,332,331,331.0,331.0,331.0,0.0,0.0
