Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
apex,1,172,1180,1008,2.0,8.0,5.860465116279067,1.2155213614176257,1.477492180062558
swpdc,1,1,7,6,6.0,6.0,6.0,0.0,0.0
swpdc,10,7,70,63,5.0,14.0,9.0,3.0550504633038935,9.333333333333334
swpdc,11,6,60,54,5.0,11.0,9.0,2.1908902300206643,4.8
swpdc,12,7,69,62,5.0,14.0,8.857142857142858,2.9113897843110044,8.476190476190476
swpdc,13,7,69,62,5.0,14.0,8.857142857142858,2.9113897843110044,8.476190476190476
swpdc,14,7,69,62,5.0,14.0,8.857142857142858,2.9113897843110044,8.476190476190476
swpdc,15,7,69,62,5.0,14.0,8.857142857142858,2.9113897843110044,8.476190476190476
swpdc,16,6,60,54,5.0,11.0,9.0,2.1908902300206643,4.8
swpdc,17,7,69,62,5.0,14.0,8.857142857142858,2.9113897843110044,8.476190476190476
swpdc,18,7,69,62,5.0,14.0,8.857142857142858,2.9113897843110044,8.476190476190476
swpdc,19,7,69,62,5.0,14.0,8.857142857142858,2.9113897843110044,8.476190476190476
swpdc,2,2,17,15,7.0,8.0,7.5,0.7071067811865476,0.5
swpdc,20,7,69,62,5.0,14.0,8.857142857142858,2.9113897843110044,8.476190476190476
swpdc,3,4,38,34,7.0,12.0,8.5,2.3804761428476167,5.666666666666667
swpdc,4,5,43,38,5.0,9.0,7.6,1.6733200530681511,2.8
swpdc,5,5,37,32,5.0,8.0,6.4,1.51657508881031,2.3
swpdc,6,9,61,52,5.0,8.0,5.777777777777778,1.3017082793177759,1.6944444444444446
swpdc,7,6,60,54,5.0,16.0,9.0,4.516635916254486,20.4
swpdc,8,9,79,70,4.0,14.0,7.777777777777778,3.1534813214040835,9.944444444444445
swpdc,9,3,28,25,5.0,12.0,8.333333333333334,3.511884584284246,12.333333333333332
