Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
apex,1,85,9163,9078,30.0,143.0,106.8,20.59461325779378,424.1380952380954
swpdc,1,1,105,104,104.0,104.0,104.0,0.0,0.0
swpdc,10,2,1082,1080,523.0,557.0,540.0,24.041630560342615,578.0
swpdc,11,2,1003,1001,364.0,637.0,500.5,193.04015126392747,37264.5
swpdc,12,2,1109,1107,534.0,573.0,553.5,27.577164466275352,760.5
swpdc,13,2,1106,1104,533.0,571.0,552.0,26.870057685088806,722.0
swpdc,14,2,1103,1101,532.0,569.0,550.5,26.16295090390226,684.5
swpdc,15,2,1103,1101,532.0,569.0,550.5,26.16295090390226,684.5
swpdc,16,2,1239,1237,600.0,637.0,618.5,26.16295090390226,684.5
swpdc,17,3,1060,1057,184.0,456.0,352.3333333333333,147.07934366638077,21632.333333333336
swpdc,18,2,1109,1107,534.0,573.0,553.5,27.577164466275352,760.5
swpdc,19,2,1109,1107,534.0,573.0,553.5,27.577164466275352,760.5
swpdc,2,1,216,215,215.0,215.0,215.0,0.0,0.0
swpdc,20,2,1109,1107,534.0,573.0,553.5,27.577164466275352,760.5
swpdc,3,2,575,573,275.0,298.0,286.5,16.263455967290593,264.5
swpdc,4,3,621,618,142.0,286.0,206.0,73.32121111929344,5376.0
swpdc,5,2,1141,1139,505.0,634.0,569.5,91.21677477306463,8320.5
swpdc,6,2,1128,1126,553.0,573.0,563.0,14.142135623730951,200.0
swpdc,7,2,923,921,428.0,493.0,460.5,45.96194077712559,2112.5
swpdc,8,2,886,884,385.0,499.0,442.0,80.61017305526642,6498.0
swpdc,9,1,383,382,382.0,382.0,382.0,0.0,0.0
