Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
apex,1,2,9010,9008,3511.0,5497.0,4504.0,1404.3140674364834,1972098.0
swpdc,1,1,48,47,47.0,47.0,47.0,0.0,0.0
swpdc,10,1,353,352,352.0,352.0,352.0,0.0,0.0
swpdc,11,1,919,918,918.0,918.0,918.0,0.0,0.0
swpdc,12,1,367,366,366.0,366.0,366.0,0.0,0.0
swpdc,13,1,367,366,366.0,366.0,366.0,0.0,0.0
swpdc,14,1,365,364,364.0,364.0,364.0,0.0,0.0
swpdc,15,1,365,364,364.0,364.0,364.0,0.0,0.0
swpdc,16,1,919,918,918.0,918.0,918.0,0.0,0.0
swpdc,17,1,367,366,366.0,366.0,366.0,0.0,0.0
swpdc,18,1,367,366,366.0,366.0,366.0,0.0,0.0
swpdc,19,1,367,366,366.0,366.0,366.0,0.0,0.0
swpdc,2,1,117,116,116.0,116.0,116.0,0.0,0.0
swpdc,20,1,367,366,366.0,366.0,366.0,0.0,0.0
swpdc,3,1,267,266,266.0,266.0,266.0,0.0,0.0
swpdc,4,1,193,192,192.0,192.0,192.0,0.0,0.0
swpdc,5,1,1723,1722,1722.0,1722.0,1722.0,0.0,0.0
swpdc,6,1,965,964,964.0,964.0,964.0,0.0,0.0
swpdc,7,1,327,326,326.0,326.0,326.0,0.0,0.0
swpdc,8,1,345,344,344.0,344.0,344.0,0.0,0.0
swpdc,9,1,207,206,206.0,206.0,206.0,0.0,0.0
