Folder,File,Breadth All-trans,Breadth All-transpair,Depth All-trans,Depth All-transpair,Euler All-trans,Euler All-transpair,CPP All-trans,CPP All-transpair
apex,1,375.0,539.0,206.0,278.0,1186.0,3457.0,380.0,409.0
swpdc,1,95.0,180.0,164.0,331.0,62.0,77.0,357.0,331.0
swpdc,10,129.0,372.0,135.0,252.0,80.0,294.0,354.0,338.0
swpdc,11,205.0,226.0,189.0,298.0,227.0,379.0,311.0,197.0
swpdc,12,253.0,339.0,185.0,272.0,231.0,255.0,251.0,191.0
swpdc,13,284.0,270.0,75.0,338.0,271.0,336.0,345.0,240.0
swpdc,14,125.0,278.0,74.0,328.0,315.0,237.0,352.0,276.0
swpdc,15,161.0,263.0,180.0,265.0,186.0,230.0,363.0,266.0
swpdc,16,281.0,236.0,215.0,334.0,261.0,366.0,363.0,285.0
swpdc,17,324.0,256.0,201.0,320.0,284.0,297.0,420.0,288.0
swpdc,18,369.0,242.0,190.0,255.0,351.0,224.0,351.0,306.0
swpdc,19,338.0,237.0,250.0,345.0,360.0,272.0,295.0,291.0
swpdc,2,283.0,277.0,310.0,346.0,311.0,286.0,328.0,282.0
swpdc,20,232.0,282.0,323.0,318.0,311.0,267.0,304.0,326.0
swpdc,3,408.0,265.0,235.0,359.0,288.0,373.0,378.0,242.0
swpdc,4,302.0,494.0,344.0,269.0,330.0,242.0,380.0,286.0
swpdc,5,829.0,313.0,262.0,341.0,253.0,281.0,358.0,339.0
swpdc,6,841.0,273.0,83.0,375.0,515.0,280.0,313.0,309.0
swpdc,7,219.0,236.0,122.0,401.0,161.0,331.0,359.0,241.0
swpdc,8,153.0,347.0,113.0,284.0,122.0,281.0,308.0,287.0
swpdc,9,121.0,274.0,78.0,329.0,242.0,648.0,399.0,264.0
