Folder,File,Number of test cases,Number of inputs (with resets),Number of inputs (no resets),Length of less test case,Length of largest test case,Average length,Standard deviation,Variance
10-4-4,1,60,3944,3884,17.0,90.0,64.73333333333332,21.95593944326132,482.06327683615825
10-4-4,10,54,3417,3363,6.0,100.0,62.277777777777764,34.59491546601364,1196.8081761006295
10-4-4,100,40,3730,3690,64.0,104.0,92.25,13.014291946617567,169.37179487179486
10-4-4,11,38,3666,3628,49.0,113.0,95.47368421052632,15.056177401705778,226.68847795163575
10-4-4,12,48,3878,3830,16.0,104.0,79.79166666666666,25.161570100633185,633.1046099290779
10-4-4,14,50,4252,4202,34.0,93.0,84.04,11.135455417132196,123.99836734693878
10-4-4,15,60,4423,4363,33.0,83.0,72.71666666666667,12.970751538759274,168.24039548022606
10-4-4,16,40,3318,3278,37.0,108.0,81.95,22.929043277926485,525.7410256410258
10-4-4,17,31,3236,3205,46.0,119.0,103.38709677419355,16.49177051209651,271.978494623656
10-4-4,18,42,3730,3688,40.0,111.0,87.80952380952381,19.929434164300183,397.1823461091753
10-4-4,19,48,3866,3818,27.0,103.0,79.54166666666666,19.07427624274109,363.8280141843971
10-4-4,2,38,3670,3632,40.0,117.0,95.57894736842105,20.538206425740885,421.81792318634416
10-4-4,20,45,3573,3528,43.0,104.0,78.4,22.916250684929803,525.1545454545457
10-4-4,21,62,3788,3726,11.0,87.0,60.09677419354837,25.70559017942918,660.7773664727658
10-4-4,22,50,4208,4158,47.0,97.0,83.16,12.127486069558966,147.0759183673468
10-4-4,23,62,4117,4055,28.0,92.0,65.40322580645162,18.268004527686802,333.71998942358545
10-4-4,24,54,3838,3784,16.0,94.0,70.07407407407408,20.94273580716591,438.5981830887492
10-4-4,25,53,3425,3372,26.0,91.0,63.62264150943397,22.153508504119387,490.77793904209005
10-4-4,26,35,2611,2576,5.0,119.0,73.6,35.8634665822215,1286.188235294118
10-4-4,27,50,4123,4073,40.0,92.0,81.46000000000001,11.259843765907814,126.78408163265306
10-4-4,28,55,3150,3095,19.0,93.0,56.27272727272728,28.042596266879528,786.3872053872057
10-4-4,29,65,4420,4355,17.0,83.0,67.0,18.144386184161757,329.21875
10-4-4,3,43,3919,3876,26.0,110.0,90.13953488372093,23.702100967102187,561.7895902547064
10-4-4,30,47,3775,3728,19.0,103.0,79.31914893617021,29.57974217409664,874.9611470860315
10-4-4,31,65,3939,3874,22.0,79.0,59.60000000000001,12.855932482710074,165.275
10-4-4,32,67,3628,3561,14.0,77.0,53.14925373134329,15.701045835986074,246.52284034373562
10-4-4,33,47,4104,4057,22.0,101.0,86.31914893617021,19.62375045368851,385.09158186864
10-4-4,34,44,3853,3809,36.0,100.0,86.56818181818181,15.494031449910786,240.0650105708245
10-4-4,35,69,3593,3524,4.0,72.0,51.072463768115945,16.346720160847262,267.21526001705035
10-4-4,36,55,4336,4281,23.0,99.0,77.83636363636364,17.47671852023973,305.43569023569034
10-4-4,37,40,3314,3274,8.0,115.0,81.85,33.491330680778134,1121.6692307692306
10-4-4,38,71,3670,3599,27.0,64.0,50.69014084507042,10.591899262166313,112.1883299798793
10-4-4,39,46,3915,3869,19.0,106.0,84.1086956521739,23.89256347426916,570.8545893719808
10-4-4,4,64,3916,3852,5.0,77.0,60.1875,19.12770366821505,365.8690476190476
10-4-4,40,31,2822,2791,34.0,125.0,90.03225806451613,25.432897162229004,646.8322580645162
10-4-4,41,59,4269,4210,20.0,90.0,71.35593220338983,19.304959798531325,372.6814728229107
10-4-4,42,49,4231,4182,22.0,102.0,85.34693877551021,18.987442144314052,360.52295918367344
10-4-4,43,31,3279,3248,52.0,125.0,104.7741935483871,20.486922133268912,419.71397849462363
10-4-4,44,55,3796,3741,12.0,95.0,68.01818181818183,25.283936423694808,639.2774410774409
10-4-4,45,50,4123,4073,35.0,102.0,81.46000000000001,17.714527648117475,313.8044897959184
